BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,1.38813,1.38813,0
2,1.38198,1.38506,0.00217426
3,1.38514,1.38509,0.0014497
4,1.38546,1.38518,0.00109027
5,1.38045,1.38423,0.00121531
6,1.38536,1.38442,0.00102718
7,1.38264,1.38417,0.000911462
8,1.38167,1.38385,0.000849303
9,1.39093,1.38464,0.00105802
10,1.38258,1.38443,0.000972077
11,1.38306,1.38431,0.000891651
12,1.3876,1.38458,0.000858469
13,1.38393,1.38453,0.000793915
14,1.38806,1.38479,0.000776218
15,1.38547,1.38483,0.000725791
16,1.38431,1.3848,0.000681158
17,1.38812,1.38499,0.000668454
18,1.38273,1.38487,0.000643047
19,1.38531,1.38489,0.00060962
20,1.38967,1.38513,0.000624309
21,1.38995,1.38536,0.000635311
22,1.3903,1.38558,0.000644856
23,1.39096,1.38582,0.000657859
24,1.39101,1.38603,0.000665028
25,1.38883,1.38615,0.000647761
26,1.3809,1.38594,0.000653472
27,1.38353,1.38585,0.00063534
28,1.38418,1.38579,0.00061547
29,1.38554,1.38579,0.000594308
30,1.38284,1.38569,0.000582545
31,1.3883,1.38577,0.000569815
32,1.38608,1.38578,0.000552092
33,1.38377,1.38572,0.000538723
34,1.39024,1.38585,0.000539014
35,1.38731,1.3859,0.000525222
36,1.38426,1.38585,0.000512598
37,1.37894,1.38566,0.000531673
38,1.37995,1.38551,0.000538528
39,1.38861,1.38559,0.000530557
40,1.38209,1.38551,0.00052445
41,1.38708,1.38554,0.000513057
42,1.38863,1.38562,0.00050609
43,1.38481,1.3856,0.000494664
44,1.37971,1.38546,0.000501184
45,1.38334,1.38542,0.000492265
46,1.3807,1.38531,0.000492145
47,1.38807,1.38537,0.000485147
48,1.38161,1.38529,0.000481319
49,1.38527,1.38529,0.000471496
50,1.3862,1.38531,0.000462416
