BLOCK,GOFR_AVE,ERROR
1,7.100501e-01,4.644587e-02
2,7.094302e-01,4.640094e-02
3,7.099782e-01,4.642695e-02
4,7.092457e-01,4.630946e-02
5,7.094866e-01,4.656050e-02
6,7.094684e-01,4.649084e-02
7,7.093851e-01,4.627639e-02
8,7.096072e-01,4.639798e-02
9,7.099037e-01,4.647763e-02
10,7.094695e-01,4.641957e-02
11,7.094165e-01,4.647431e-02
12,7.092398e-01,4.641015e-02
13,7.098813e-01,4.638814e-02
14,7.097354e-01,4.629470e-02
15,7.095372e-01,4.635289e-02
16,7.099208e-01,4.625480e-02
17,7.092575e-01,4.650873e-02
18,7.096702e-01,4.644210e-02
19,7.093943e-01,4.636838e-02
20,7.093106e-01,4.652760e-02
21,7.098501e-01,4.638046e-02
22,7.100852e-01,4.641389e-02
23,7.095624e-01,4.634474e-02
24,7.097084e-01,4.620973e-02
25,7.091248e-01,4.637750e-02
26,7.097441e-01,4.629359e-02
27,7.095445e-01,4.629262e-02
28,7.096826e-01,4.641216e-02
29,7.099870e-01,4.642081e-02
30,7.096908e-01,4.635801e-02
31,7.092265e-01,4.648538e-02
32,7.092594e-01,4.640347e-02
33,7.096551e-01,4.631214e-02
34,7.093623e-01,4.630115e-02
35,7.097170e-01,4.632318e-02
36,7.093625e-01,4.648217e-02
37,7.095920e-01,4.624534e-02
38,7.092842e-01,4.637684e-02
39,7.096331e-01,4.649740e-02
40,7.098824e-01,4.644835e-02
41,7.096559e-01,4.630819e-02
42,7.100748e-01,4.635121e-02
43,7.097383e-01,4.636678e-02
44,7.097437e-01,4.631546e-02
45,7.101090e-01,4.642222e-02
46,7.093219e-01,4.638257e-02
47,7.097122e-01,4.661283e-02
48,7.094203e-01,4.633485e-02
49,7.092233e-01,4.637649e-02
50,7.099438e-01,4.632351e-02
