STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0128248,0,0
3,0.0256496,0,0
4,0.0384745,0,0
5,0.0512993,0,0
6,0.0641241,0,0
7,0.0769489,0,0
8,0.0897737,0,0
9,0.102599,0,0
10,0.115423,0,0
11,0.128248,0,0
12,0.141073,0,0
13,0.153898,0,0
14,0.166723,0,0
15,0.179547,0,0
16,0.192372,0,0
17,0.205197,0,0
18,0.218022,0,0
19,0.230847,0,0
20,0.243672,0,0
21,0.256496,0,0
22,0.269321,0,0
23,0.282146,0,0
24,0.294971,0,0
25,0.307796,0,0
26,0.32062,0,0
27,0.333445,0,0
28,0.34627,0,0
29,0.359095,0,0
30,0.37192,0,0
31,0.384745,0,0
32,0.397569,0,0
33,0.410394,0,0
34,0.423219,0,0
35,0.436044,0,0
36,0.448869,0,0
37,0.461694,0,0
38,0.474518,0,0
39,0.487343,0,0
40,0.500168,0,0
41,0.512993,0,0
42,0.525818,0,0
43,0.538642,0,0
44,0.551467,0,0
45,0.564292,0,0
46,0.577117,0,0
47,0.589942,0,0
48,0.602767,0,0
49,0.615591,0,0
50,0.628416,0,0
51,0.641241,0,0
52,0.654066,0,0
53,0.666891,0,0
54,0.679715,0,0
55,0.69254,0,0
56,0.705365,0,0
57,0.71819,0,0
58,0.731015,0,0
59,0.74384,0,0
60,0.756664,0,0
61,0.769489,0,0
62,0.782314,0,0
63,0.795139,0,0
64,0.807964,0,0
65,0.820788,0,0
66,0.833613,0,0
67,0.846438,0,0
68,0.859263,2.10829e-05,7.80422e-06
69,0.872088,0.000308938,3.67005e-05
70,0.884913,0.00218214,9.8228e-05
71,0.897737,0.0108494,0.000222551
72,0.910562,0.0373476,0.000442323
73,0.923387,0.102856,0.000871788
74,0.936212,0.227404,0.00147872
75,0.949037,0.424853,0.00180358
76,0.961861,0.697992,0.00230255
77,0.974686,1.023,0.00284759
78,0.987511,1.37632,0.0028336
79,1.00034,1.71408,0.00306594
80,1.01316,2.01267,0.00368282
81,1.02599,2.24978,0.00350288
82,1.03881,2.42619,0.00339946
83,1.05164,2.53016,0.00272318
84,1.06446,2.57947,0.00284192
85,1.07728,2.57303,0.0027533
86,1.09011,2.52951,0.00295123
87,1.10293,2.45457,0.00240275
88,1.11576,2.35912,0.00255011
89,1.12858,2.25794,0.00267249
90,1.14141,2.14618,0.00236152
91,1.15423,2.03295,0.00240439
92,1.16706,1.91821,0.0028992
93,1.17988,1.80896,0.00283612
94,1.19271,1.70565,0.00292006
95,1.20553,1.60596,0.00275384
96,1.21836,1.51244,0.00221736
97,1.23118,1.42598,0.00280532
98,1.24401,1.34816,0.0023881
99,1.25683,1.27603,0.00226011
100,1.26966,1.21256,0.00189827
101,1.28248,1.14865,0.00191281
102,1.29531,1.0976,0.00168867
103,1.30813,1.04522,0.00178822
104,1.32096,1.00045,0.00158152
105,1.33378,0.956308,0.00158777
106,1.34661,0.922972,0.00130537
107,1.35943,0.887262,0.00136126
108,1.37226,0.854468,0.00162387
109,1.38508,0.829493,0.00122223
110,1.39791,0.802814,0.0014542
111,1.41073,0.78308,0.00147278
112,1.42355,0.761863,0.00115632
113,1.43638,0.741915,0.00125365
114,1.4492,0.7302,0.00104042
115,1.46203,0.712924,0.00126151
116,1.47485,0.701923,0.00124319
117,1.48768,0.694222,0.00114157
118,1.5005,0.685663,0.00135373
119,1.51333,0.679489,0.00137605
120,1.52615,0.67354,0.00123579
121,1.53898,0.670755,0.00140821
122,1.5518,0.669453,0.00131856
123,1.56463,0.66752,0.00131184
124,1.57745,0.67022,0.00126234
125,1.59028,0.672348,0.00137321
126,1.6031,0.678164,0.00121896
127,1.61593,0.683078,0.00133153
128,1.62875,0.689482,0.00134525
129,1.64158,0.698339,0.00131123
130,1.6544,0.708161,0.00126054
131,1.66723,0.71919,0.0014898
132,1.68005,0.730786,0.00117767
133,1.69288,0.744062,0.00121124
134,1.7057,0.757689,0.00138241
135,1.71853,0.773213,0.00105214
136,1.73135,0.791102,0.00122684
137,1.74418,0.807743,0.00115379
138,1.757,0.824767,0.00117298
139,1.76983,0.845983,0.00130973
140,1.78265,0.866317,0.00130908
141,1.79547,0.885295,0.00114511
142,1.8083,0.905607,0.0010492
143,1.82112,0.927189,0.00134407
144,1.83395,0.948277,0.00129324
145,1.84677,0.967029,0.00128718
146,1.8596,0.990475,0.0010745
147,1.87242,1.01042,0.00121103
148,1.88525,1.02792,0.00140726
149,1.89807,1.04951,0.00120062
150,1.9109,1.06818,0.00104949
151,1.92372,1.08753,0.00111198
152,1.93655,1.10559,0.00114145
153,1.94937,1.12438,0.00118576
154,1.9622,1.13922,0.00110974
155,1.97502,1.15287,0.00113339
156,1.98785,1.16786,0.00121373
157,2.00067,1.18036,0.00124431
158,2.0135,1.19072,0.00121326
159,2.02632,1.19996,0.0010288
160,2.03915,1.2063,0.00103608
161,2.05197,1.21202,0.00112949
162,2.0648,1.21476,0.00101819
163,2.07762,1.21609,0.00128992
164,2.09045,1.21301,0.00114894
165,2.10327,1.21048,0.00105759
166,2.1161,1.20565,0.00104594
167,2.12892,1.19841,0.00128393
168,2.14174,1.1905,0.00118963
169,2.15457,1.17917,0.00114214
170,2.16739,1.16915,0.00111081
171,2.18022,1.15787,0.00126924
172,2.19304,1.14412,0.00131281
173,2.20587,1.13162,0.00118741
174,2.21869,1.11573,0.00134005
175,2.23152,1.10307,0.00120123
176,2.24434,1.08797,0.00123311
177,2.25717,1.07361,0.0012936
178,2.26999,1.05854,0.0012005
179,2.28282,1.04534,0.00116416
180,2.29564,1.03111,0.00100752
181,2.30847,1.01964,0.00120133
182,2.32129,1.0055,0.000914715
183,2.33412,0.993701,0.00102524
184,2.34694,0.980552,0.000987324
185,2.35977,0.9705,0.0011495
186,2.37259,0.961155,0.00104002
187,2.38542,0.95063,0.000857733
188,2.39824,0.940194,0.000904853
189,2.41107,0.935406,0.000913874
190,2.42389,0.927143,0.00102232
191,2.43672,0.920789,0.0010499
192,2.44954,0.914033,0.000855169
193,2.46237,0.910434,0.00103676
194,2.47519,0.905912,0.00104545
195,2.48802,0.900746,0.00100348
196,2.50084,0.88718,0.00101613
197,2.51366,0.88629,0.000900314
198,2.52649,0.885111,0.00112106
