BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-5.486604e+00,-5.486604e+00,0.000000e+00
2,-5.476848e+00,-5.481726e+00,3.449175e-03
3,-5.475239e+00,-5.479563e+00,2.899069e-03
4,-5.448926e+00,-5.471904e+00,6.980448e-03
5,-5.478537e+00,-5.473231e+00,5.709030e-03
6,-5.443676e+00,-5.468305e+00,6.546260e-03
7,-5.437831e+00,-5.463951e+00,6.908610e-03
8,-5.445217e+00,-5.461610e+00,6.429699e-03
9,-5.469392e+00,-5.462474e+00,5.773140e-03
10,-5.469215e+00,-5.463148e+00,5.235031e-03
11,-5.469910e+00,-5.463763e+00,4.795069e-03
12,-5.485228e+00,-5.465552e+00,4.717319e-03
13,-5.452159e+00,-5.464522e+00,4.465526e-03
14,-5.445683e+00,-5.463176e+00,4.344577e-03
15,-5.458894e+00,-5.462890e+00,4.064305e-03
16,-5.447715e+00,-5.461942e+00,3.919401e-03
17,-5.483823e+00,-5.463229e+00,3.894457e-03
18,-5.474545e+00,-5.463858e+00,3.728498e-03
19,-5.451523e+00,-5.463209e+00,3.588339e-03
20,-5.478740e+00,-5.463985e+00,3.491943e-03
21,-5.454298e+00,-5.463524e+00,3.355989e-03
22,-5.472092e+00,-5.463913e+00,3.225962e-03
23,-5.444270e+00,-5.463059e+00,3.196753e-03
24,-5.422992e+00,-5.461390e+00,3.472227e-03
25,-5.462111e+00,-5.461419e+00,3.333457e-03
26,-5.450659e+00,-5.461005e+00,3.230834e-03
27,-5.450083e+00,-5.460600e+00,3.136395e-03
28,-5.457604e+00,-5.460493e+00,3.026206e-03
29,-5.449636e+00,-5.460119e+00,2.944922e-03
30,-5.451254e+00,-5.459823e+00,2.861545e-03
31,-5.479023e+00,-5.460443e+00,2.835469e-03
32,-5.457606e+00,-5.460354e+00,2.748247e-03
33,-5.466504e+00,-5.460540e+00,2.671278e-03
34,-5.469571e+00,-5.460806e+00,2.605883e-03
35,-5.434763e+00,-5.460062e+00,2.635525e-03
36,-5.473779e+00,-5.460443e+00,2.589714e-03
37,-5.438854e+00,-5.459859e+00,2.584621e-03
38,-5.460845e+00,-5.459885e+00,2.516735e-03
39,-5.472555e+00,-5.460210e+00,2.473082e-03
40,-5.478256e+00,-5.460661e+00,2.452060e-03
41,-5.449997e+00,-5.460401e+00,2.406010e-03
42,-5.465398e+00,-5.460520e+00,2.351663e-03
43,-5.460631e+00,-5.460523e+00,2.296975e-03
44,-5.453368e+00,-5.460360e+00,2.250520e-03
45,-5.483709e+00,-5.460879e+00,2.259527e-03
46,-5.449016e+00,-5.460621e+00,2.225074e-03
47,-5.488864e+00,-5.461222e+00,2.257419e-03
48,-5.462042e+00,-5.461239e+00,2.210454e-03
49,-5.448277e+00,-5.460975e+00,2.181113e-03
50,-5.446841e+00,-5.460692e+00,2.155731e-03
