BLOCK,ACTUAL_P,P_AVE,ERROR
1,3.446624e-02,3.446624e-02,0.000000e+00
2,3.480090e-02,3.463357e-02,1.183207e-04
3,3.520585e-02,3.482433e-02,1.745888e-04
4,3.624579e-02,3.517970e-02,3.344541e-04
5,3.524736e-02,3.519323e-02,2.678370e-04
6,3.682480e-02,3.546516e-02,3.338239e-04
7,3.672393e-02,3.564498e-02,3.310441e-04
8,3.669228e-02,3.577589e-02,3.144849e-04
9,3.556105e-02,3.575202e-02,2.804467e-04
10,3.535588e-02,3.571241e-02,2.551845e-04
11,3.541461e-02,3.568534e-02,2.334176e-04
12,3.436823e-02,3.557558e-02,2.383790e-04
13,3.623210e-02,3.562608e-02,2.253282e-04
14,3.640669e-02,3.568184e-02,2.160220e-04
15,3.577661e-02,3.568816e-02,2.017129e-04
16,3.626107e-02,3.572396e-02,1.922577e-04
17,3.468970e-02,3.566312e-02,1.903312e-04
18,3.512198e-02,3.563306e-02,1.821161e-04
19,3.610209e-02,3.565775e-02,1.741961e-04
20,3.500096e-02,3.562491e-02,1.685532e-04
21,3.618694e-02,3.565167e-02,1.626378e-04
22,3.517072e-02,3.562981e-02,1.567076e-04
23,3.660322e-02,3.567213e-02,1.555042e-04
24,3.761003e-02,3.575288e-02,1.686908e-04
25,3.552642e-02,3.574382e-02,1.621862e-04
26,3.602379e-02,3.575459e-02,1.563054e-04
27,3.608318e-02,3.576676e-02,1.509893e-04
28,3.593735e-02,3.577285e-02,1.457197e-04
29,3.655232e-02,3.579973e-02,1.431523e-04
30,3.623724e-02,3.581431e-02,1.391215e-04
31,3.492813e-02,3.578573e-02,1.375393e-04
32,3.593432e-02,3.579037e-02,1.333196e-04
33,3.529667e-02,3.577541e-02,1.301163e-04
34,3.502123e-02,3.575323e-02,1.281661e-04
35,3.710458e-02,3.579184e-02,1.301900e-04
36,3.520720e-02,3.577560e-02,1.275825e-04
37,3.669515e-02,3.580045e-02,1.265318e-04
38,3.575057e-02,3.579914e-02,1.232088e-04
39,3.535253e-02,3.578769e-02,1.205806e-04
40,3.488044e-02,3.576500e-02,1.196803e-04
41,3.623545e-02,3.577648e-02,1.173100e-04
42,3.547091e-02,3.576920e-02,1.147423e-04
43,3.576171e-02,3.576903e-02,1.120740e-04
44,3.616405e-02,3.577801e-02,1.098859e-04
45,3.468232e-02,3.575366e-02,1.101085e-04
46,3.634835e-02,3.576659e-02,1.084711e-04
47,3.479808e-02,3.574598e-02,1.081029e-04
48,3.547087e-02,3.574025e-02,1.060025e-04
49,3.644801e-02,3.575469e-02,1.048187e-04
50,3.648319e-02,3.576926e-02,1.037300e-04
