BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-3.8366,-3.8366,0
2,-3.82685,-3.83173,0.00344918
3,-3.82524,-3.82956,0.00289907
4,-3.79893,-3.8219,0.00698045
5,-3.82854,-3.82323,0.00570903
6,-3.79368,-3.8183,0.00654626
7,-3.78783,-3.81395,0.00690861
8,-3.79522,-3.81161,0.0064297
9,-3.81939,-3.81247,0.00577314
10,-3.81922,-3.81315,0.00523503
11,-3.81991,-3.81376,0.00479507
12,-3.83523,-3.81555,0.00471732
13,-3.80216,-3.81452,0.00446553
14,-3.79568,-3.81318,0.00434458
15,-3.80889,-3.81289,0.00406431
16,-3.79771,-3.81194,0.0039194
17,-3.83382,-3.81323,0.00389446
18,-3.82455,-3.81386,0.0037285
19,-3.80152,-3.81321,0.00358834
20,-3.82874,-3.81399,0.00349194
21,-3.8043,-3.81352,0.00335599
22,-3.82209,-3.81391,0.00322596
23,-3.79427,-3.81306,0.00319675
24,-3.77299,-3.81139,0.00347223
25,-3.81211,-3.81142,0.00333346
26,-3.80066,-3.811,0.00323083
27,-3.80008,-3.8106,0.0031364
28,-3.8076,-3.81049,0.00302621
29,-3.79964,-3.81012,0.00294492
30,-3.80125,-3.80982,0.00286155
31,-3.82902,-3.81044,0.00283547
32,-3.80761,-3.81035,0.00274825
33,-3.8165,-3.81054,0.00267128
34,-3.81957,-3.81081,0.00260588
35,-3.78476,-3.81006,0.00263553
36,-3.82378,-3.81044,0.00258971
37,-3.78885,-3.80986,0.00258462
38,-3.81084,-3.80989,0.00251673
39,-3.82256,-3.81021,0.00247308
40,-3.82826,-3.81066,0.00245206
41,-3.8,-3.8104,0.00240601
42,-3.8154,-3.81052,0.00235166
43,-3.81063,-3.81052,0.00229697
44,-3.80337,-3.81036,0.00225052
45,-3.83371,-3.81088,0.00225953
46,-3.79902,-3.81062,0.00222507
47,-3.83886,-3.81122,0.00225742
48,-3.81204,-3.81124,0.00221045
49,-3.79828,-3.81097,0.00218111
50,-3.79684,-3.81069,0.00215573
