N_BLOCK,ACCEPTANCE
1,0.500606
2,0.499713
3,0.500103
4,0.49939
5,0.49915
6,0.498375
7,0.49815
8,0.497956
9,0.497827
10,0.497856
11,0.49802
12,0.498194
13,0.498091
14,0.497957
15,0.498009
16,0.497945
17,0.498004
18,0.498036
19,0.498058
20,0.498068
21,0.498009
22,0.498082
23,0.497961
24,0.497729
25,0.497754
26,0.497755
27,0.497715
28,0.497731
29,0.497663
30,0.497628
31,0.497691
32,0.497674
33,0.497819
34,0.497877
35,0.497754
36,0.497778
37,0.497785
38,0.497767
39,0.497868
40,0.497933
41,0.497923
42,0.497967
43,0.497955
44,0.497891
45,0.497968
46,0.49794
47,0.497961
48,0.497989
49,0.497918
50,0.497918
1,0.497287
2,0.498199
3,0.499537
4,0.49938
5,0.498942
6,0.49891
7,0.499149
8,0.499395
9,0.499199
10,0.498983
11,0.499224
12,0.498916
13,0.498925
14,0.498899
15,0.498898
16,0.498963
17,0.499043
18,0.49892
19,0.498781
20,0.498864
21,0.498893
22,0.498756
23,0.498834
24,0.498819
25,0.498816
26,0.498867
27,0.498901
28,0.49886
29,0.498924
30,0.498946
31,0.49902
32,0.498994
33,0.499023
34,0.499039
35,0.498946
36,0.499059
37,0.499108
38,0.499134
39,0.499094
40,0.499131
41,0.499132
42,0.49912
43,0.499053
44,0.498971
45,0.49891
46,0.498889
47,0.498836
48,0.498897
49,0.498855
50,0.498842
