BLOCK,GOFR_AVE,ERROR
1,7.092429e-01,4.659570e-02
2,7.092702e-01,4.635794e-02
3,7.097667e-01,4.637172e-02
4,7.097540e-01,4.658318e-02
5,7.097097e-01,4.640364e-02
6,7.095752e-01,4.647827e-02
7,7.100940e-01,4.649260e-02
8,7.094027e-01,4.638982e-02
9,7.096632e-01,4.633694e-02
10,7.090808e-01,4.653578e-02
11,7.099619e-01,4.633960e-02
12,7.096072e-01,4.637632e-02
13,7.097164e-01,4.653966e-02
14,7.098723e-01,4.644330e-02
15,7.091888e-01,4.636732e-02
16,7.095683e-01,4.642227e-02
17,7.092335e-01,4.628709e-02
18,7.096443e-01,4.636174e-02
19,7.098274e-01,4.634595e-02
20,7.093975e-01,4.642107e-02
21,7.095843e-01,4.635966e-02
22,7.098548e-01,4.641775e-02
23,7.097564e-01,4.636012e-02
24,7.096963e-01,4.647054e-02
25,7.099735e-01,4.626280e-02
26,7.100099e-01,4.630124e-02
27,7.100645e-01,4.632477e-02
28,7.093992e-01,4.633246e-02
29,7.097833e-01,4.645295e-02
30,7.097705e-01,4.632998e-02
31,7.093977e-01,4.639826e-02
32,7.097973e-01,4.649898e-02
33,7.095261e-01,4.633582e-02
34,7.097963e-01,4.633131e-02
35,7.094709e-01,4.635221e-02
36,7.099086e-01,4.637250e-02
37,7.094111e-01,4.638764e-02
38,7.097903e-01,4.638638e-02
39,7.095086e-01,4.645603e-02
40,7.097146e-01,4.639611e-02
41,7.096081e-01,4.639088e-02
42,7.098697e-01,4.649050e-02
43,7.095326e-01,4.644014e-02
44,7.093859e-01,4.639220e-02
45,7.097835e-01,4.631593e-02
46,7.090942e-01,4.634662e-02
47,7.093401e-01,4.649235e-02
48,7.099599e-01,4.641865e-02
49,7.099389e-01,4.642194e-02
50,7.095822e-01,4.654929e-02
