STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0128248,0,0
3,0.0256496,0,0
4,0.0384745,0,0
5,0.0512993,0,0
6,0.0641241,0,0
7,0.0769489,0,0
8,0.0897737,0,0
9,0.102599,0,0
10,0.115423,0,0
11,0.128248,0,0
12,0.141073,0,0
13,0.153898,0,0
14,0.166723,0,0
15,0.179547,0,0
16,0.192372,0,0
17,0.205197,0,0
18,0.218022,0,0
19,0.230847,0,0
20,0.243672,0,0
21,0.256496,0,0
22,0.269321,0,0
23,0.282146,0,0
24,0.294971,0,0
25,0.307796,0,0
26,0.32062,0,0
27,0.333445,0,0
28,0.34627,0,0
29,0.359095,0,0
30,0.37192,0,0
31,0.384745,0,0
32,0.397569,0,0
33,0.410394,0,0
34,0.423219,0,0
35,0.436044,0,0
36,0.448869,0,0
37,0.461694,0,0
38,0.474518,0,0
39,0.487343,0,0
40,0.500168,0,0
41,0.512993,0,0
42,0.525818,0,0
43,0.538642,0,0
44,0.551467,0,0
45,0.564292,0,0
46,0.577117,0,0
47,0.589942,0,0
48,0.602767,0,0
49,0.615591,0,0
50,0.628416,0,0
51,0.641241,0,0
52,0.654066,0,0
53,0.666891,0,0
54,0.679715,0,0
55,0.69254,0,0
56,0.705365,0,0
57,0.71819,0,0
58,0.731015,0,0
59,0.74384,0,0
60,0.756664,0,0
61,0.769489,0,0
62,0.782314,0,0
63,0.795139,0,0
64,0.807964,0,0
65,0.820788,0,0
66,0.833613,0,0
67,0.846438,7.8988e-06,4.70625e-06
68,0.859263,1.91662e-05,8.98977e-06
69,0.872088,0.000331271,4.06175e-05
70,0.884913,0.00222553,9.8224e-05
71,0.897737,0.0103785,0.00016744
72,0.910562,0.0370555,0.000453167
73,0.923387,0.101623,0.0006807
74,0.936212,0.226028,0.0011166
75,0.949037,0.426896,0.00151538
76,0.961861,0.699922,0.00220014
77,0.974686,1.0203,0.00294391
78,0.987511,1.37009,0.00315908
79,1.00034,1.70644,0.00346968
80,1.01316,2.00501,0.00364055
81,1.02599,2.24461,0.00258152
82,1.03881,2.41802,0.0026626
83,1.05164,2.52756,0.00301491
84,1.06446,2.57656,0.00228723
85,1.07728,2.57125,0.00296317
86,1.09011,2.52631,0.00271778
87,1.10293,2.45326,0.00260001
88,1.11576,2.36361,0.00295265
89,1.12858,2.25943,0.00295414
90,1.14141,2.147,0.0024146
91,1.15423,2.03406,0.00229924
92,1.16706,1.92231,0.00249683
93,1.17988,1.81153,0.00233073
94,1.19271,1.70429,0.00270351
95,1.20553,1.60989,0.00194743
96,1.21836,1.51786,0.00253878
97,1.23118,1.43042,0.00229142
98,1.24401,1.35265,0.00205459
99,1.25683,1.28208,0.00190987
100,1.26966,1.21215,0.00189951
101,1.28248,1.15319,0.00198081
102,1.29531,1.09554,0.00157366
103,1.30813,1.04775,0.00188366
104,1.32096,1.00178,0.00144668
105,1.33378,0.961663,0.00164214
106,1.34661,0.923386,0.00152933
107,1.35943,0.890534,0.00119247
108,1.37226,0.855918,0.00148585
109,1.38508,0.828405,0.00124942
110,1.39791,0.806333,0.00143292
111,1.41073,0.784367,0.00120343
112,1.42355,0.76434,0.00127542
113,1.43638,0.744623,0.00122599
114,1.4492,0.731117,0.00109031
115,1.46203,0.717238,0.001136
116,1.47485,0.703761,0.00127916
117,1.48768,0.693535,0.00129914
118,1.5005,0.687031,0.0011343
119,1.51333,0.67814,0.00114501
120,1.52615,0.676056,0.00123238
121,1.53898,0.67174,0.00110494
122,1.5518,0.67073,0.00122942
123,1.56463,0.668449,0.001322
124,1.57745,0.670634,0.00135724
125,1.59028,0.673788,0.0011755
126,1.6031,0.675649,0.00107867
127,1.61593,0.681649,0.00108777
128,1.62875,0.68823,0.00118629
129,1.64158,0.69565,0.00107918
130,1.6544,0.705769,0.0010948
131,1.66723,0.714305,0.00119852
132,1.68005,0.728195,0.00116283
133,1.69288,0.739946,0.000928516
134,1.7057,0.756008,0.00112308
135,1.71853,0.770944,0.0011007
136,1.73135,0.786109,0.00104538
137,1.74418,0.805413,0.00124405
138,1.757,0.822851,0.00123435
139,1.76983,0.841768,0.00113776
140,1.78265,0.862236,0.00123497
141,1.79547,0.881986,0.00119816
142,1.8083,0.904186,0.00121763
143,1.82112,0.923004,0.00119388
144,1.83395,0.946505,0.0013478
145,1.84677,0.966483,0.0013648
146,1.8596,0.988473,0.00123006
147,1.87242,1.01024,0.00146601
148,1.88525,1.02976,0.00139607
149,1.89807,1.05108,0.00121061
150,1.9109,1.06815,0.00134428
151,1.92372,1.08682,0.00108317
152,1.93655,1.10507,0.00113861
153,1.94937,1.12391,0.00128903
154,1.9622,1.13983,0.00124159
155,1.97502,1.15725,0.00116669
156,1.98785,1.16909,0.00121093
157,2.00067,1.18014,0.00110735
158,2.0135,1.19134,0.0012412
159,2.02632,1.2008,0.001164
160,2.03915,1.20869,0.00123664
161,2.05197,1.21323,0.00113128
162,2.0648,1.2161,0.0012914
163,2.07762,1.21617,0.0011876
164,2.09045,1.2137,0.00121642
165,2.10327,1.21232,0.000831031
166,2.1161,1.20601,0.000978006
167,2.12892,1.19973,0.00108374
168,2.14174,1.19067,0.00116978
169,2.15457,1.18101,0.00127245
170,2.16739,1.16978,0.00119493
171,2.18022,1.15905,0.000989329
172,2.19304,1.14424,0.00110469
173,2.20587,1.13195,0.00122943
174,2.21869,1.11687,0.00127032
175,2.23152,1.10167,0.000876617
176,2.24434,1.08904,0.00100403
177,2.25717,1.07484,0.000992179
178,2.26999,1.06145,0.00111196
179,2.28282,1.04707,0.00102876
180,2.29564,1.03221,0.00108616
181,2.30847,1.01919,0.00108807
182,2.32129,1.00589,0.00117654
183,2.33412,0.994473,0.000962553
184,2.34694,0.981547,0.00104135
185,2.35977,0.971201,0.00121069
186,2.37259,0.960212,0.00104335
187,2.38542,0.951677,0.000979232
188,2.39824,0.942709,0.0010482
189,2.41107,0.934899,0.00106362
190,2.42389,0.926014,0.000885704
191,2.43672,0.921571,0.00101557
192,2.44954,0.914972,0.00107318
193,2.46237,0.911679,0.0011063
194,2.47519,0.90513,0.000886271
195,2.48802,0.902536,0.000801547
196,2.50084,0.887693,0.000894901
197,2.51366,0.885454,0.000838049
198,2.52649,0.885376,0.000784058
