BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-5.47519,-5.47519,0
2,-5.46388,-5.46953,0.00399814
3,-5.47262,-5.47056,0.0027948
4,-5.47813,-5.47245,0.00266033
5,-5.45994,-5.46995,0.00308923
6,-5.46948,-5.46987,0.00257534
7,-5.47181,-5.47015,0.00222226
8,-5.4798,-5.47135,0.00224811
9,-5.44429,-5.46835,0.00346905
10,-5.47101,-5.46861,0.00313232
11,-5.47615,-5.4693,0.00292146
12,-5.44886,-5.46759,0.00313544
13,-5.48612,-5.46902,0.00320181
14,-5.47342,-5.46933,0.00298849
15,-5.45711,-5.46852,0.00289827
16,-5.4688,-5.46854,0.00271718
17,-5.46273,-5.46819,0.00257873
18,-5.46072,-5.46778,0.00246867
19,-5.45024,-5.46686,0.00250547
20,-5.47757,-5.46739,0.00243682
21,-5.46623,-5.46734,0.00232141
22,-5.4522,-5.46665,0.00231562
23,-5.46013,-5.46637,0.00223223
24,-5.47476,-5.46671,0.00216642
25,-5.45148,-5.46611,0.00216372
26,-5.46358,-5.46601,0.00208268
27,-5.44932,-5.46539,0.00209527
28,-5.46163,-5.46526,0.00202475
29,-5.48927,-5.46608,0.00211754
30,-5.47003,-5.46622,0.00205103
31,-5.47659,-5.46655,0.00201198
32,-5.48664,-5.46718,0.00204471
33,-5.47649,-5.46746,0.00200213
34,-5.46899,-5.46751,0.00194375
35,-5.45083,-5.46703,0.00194575
36,-5.48267,-5.46746,0.00193959
37,-5.47012,-5.46753,0.00188849
38,-5.47089,-5.46762,0.00184086
39,-5.45528,-5.46731,0.00182068
40,-5.47352,-5.46746,0.00178177
41,-5.46662,-5.46744,0.00173843
42,-5.46552,-5.4674,0.00169764
43,-5.45455,-5.4671,0.00168423
44,-5.44762,-5.46665,0.00170313
45,-5.45375,-5.46637,0.00168926
46,-5.46146,-5.46626,0.0016559
47,-5.45543,-5.46603,0.00163664
48,-5.47387,-5.46619,0.00161067
49,-5.47068,-5.46629,0.0015804
50,-5.4792,-5.46654,0.00156974
