BLOCK,ACTUAL_P,P_AVE,ERROR
1,3.536912e-02,3.536912e-02,0.000000e+00
2,3.546731e-02,3.541822e-02,3.471460e-05
3,3.516232e-02,3.533292e-02,7.338968e-05
4,3.524178e-02,3.531013e-02,5.847233e-05
5,3.594347e-02,3.543680e-02,1.225719e-04
6,3.551971e-02,3.545062e-02,1.029191e-04
7,3.542026e-02,3.544628e-02,8.830771e-05
8,3.458498e-02,3.533862e-02,1.269368e-04
9,3.654727e-02,3.547291e-02,1.695947e-04
10,3.543163e-02,3.546878e-02,1.526855e-04
11,3.486434e-02,3.541383e-02,1.483637e-04
12,3.637345e-02,3.549380e-02,1.560705e-04
13,3.468941e-02,3.543193e-02,1.558490e-04
14,3.528280e-02,3.542127e-02,1.450805e-04
15,3.584312e-02,3.544940e-02,1.381073e-04
16,3.541313e-02,3.544713e-02,1.294942e-04
17,3.534391e-02,3.544106e-02,1.220192e-04
18,3.573674e-02,3.545749e-02,1.163408e-04
19,3.625288e-02,3.549935e-02,1.175083e-04
20,3.495126e-02,3.547194e-02,1.147839e-04
21,3.530709e-02,3.546409e-02,1.095861e-04
22,3.645858e-02,3.550930e-02,1.135461e-04
23,3.578884e-02,3.552145e-02,1.092579e-04
24,3.525819e-02,3.551048e-02,1.052547e-04
25,3.610971e-02,3.553445e-02,1.037378e-04
26,3.548182e-02,3.553243e-02,9.976760e-05
27,3.632037e-02,3.556161e-02,1.002498e-04
28,3.554114e-02,3.556088e-02,9.667216e-05
29,3.429840e-02,3.551735e-02,1.026739e-04
30,3.517584e-02,3.550596e-02,9.988054e-05
31,3.481544e-02,3.548369e-02,9.911127e-05
32,3.467790e-02,3.545851e-02,9.916125e-05
33,3.473986e-02,3.543673e-02,9.851864e-05
34,3.518110e-02,3.542921e-02,9.590750e-05
35,3.623480e-02,3.545223e-02,9.588944e-05
36,3.452462e-02,3.542646e-02,9.662582e-05
37,3.514264e-02,3.541879e-02,9.431830e-05
38,3.523268e-02,3.541389e-02,9.196331e-05
39,3.627915e-02,3.543608e-02,9.224264e-05
40,3.511503e-02,3.542805e-02,9.028509e-05
41,3.543840e-02,3.542830e-02,8.808337e-05
42,3.570752e-02,3.543495e-02,8.623665e-05
43,3.630240e-02,3.545513e-02,8.655853e-05
44,3.650043e-02,3.547888e-02,8.779097e-05
45,3.603471e-02,3.549123e-02,8.670462e-05
46,3.557387e-02,3.549303e-02,8.483835e-05
47,3.627565e-02,3.550968e-02,8.465161e-05
48,3.517374e-02,3.550268e-02,8.317685e-05
49,3.535767e-02,3.549972e-02,8.153199e-05
50,3.515475e-02,3.549282e-02,8.019275e-05
