BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-3.825186e+00,-3.825186e+00,0.000000e+00
2,-3.813878e+00,-3.819532e+00,3.998138e-03
3,-3.822620e+00,-3.820561e+00,2.794796e-03
4,-3.828128e+00,-3.822453e+00,2.660331e-03
5,-3.809936e+00,-3.819949e+00,3.089233e-03
6,-3.819484e+00,-3.819872e+00,2.575335e-03
7,-3.821810e+00,-3.820149e+00,2.222259e-03
8,-3.829798e+00,-3.821355e+00,2.248113e-03
9,-3.794286e+00,-3.818347e+00,3.469052e-03
10,-3.821006e+00,-3.818613e+00,3.132321e-03
11,-3.826146e+00,-3.819298e+00,2.921456e-03
12,-3.798859e+00,-3.817595e+00,3.135445e-03
13,-3.836122e+00,-3.819020e+00,3.201814e-03
14,-3.823418e+00,-3.819334e+00,2.988488e-03
15,-3.807108e+00,-3.818519e+00,2.898267e-03
16,-3.818798e+00,-3.818536e+00,2.717178e-03
17,-3.812729e+00,-3.818195e+00,2.578728e-03
18,-3.810720e+00,-3.817780e+00,2.468673e-03
19,-3.800236e+00,-3.816856e+00,2.505472e-03
20,-3.827573e+00,-3.817392e+00,2.436823e-03
21,-3.816231e+00,-3.817337e+00,2.321411e-03
22,-3.802200e+00,-3.816649e+00,2.315617e-03
23,-3.810127e+00,-3.816365e+00,2.232229e-03
24,-3.824755e+00,-3.816715e+00,2.166422e-03
25,-3.801485e+00,-3.816106e+00,2.163722e-03
26,-3.813583e+00,-3.816009e+00,2.082676e-03
27,-3.799318e+00,-3.815390e+00,2.095270e-03
28,-3.811626e+00,-3.815256e+00,2.024748e-03
29,-3.839274e+00,-3.816084e+00,2.117545e-03
30,-3.820026e+00,-3.816216e+00,2.051033e-03
31,-3.826589e+00,-3.816550e+00,2.011983e-03
32,-3.836640e+00,-3.817178e+00,2.044713e-03
33,-3.826489e+00,-3.817460e+00,2.002125e-03
34,-3.818992e+00,-3.817505e+00,1.943746e-03
35,-3.800826e+00,-3.817029e+00,1.945753e-03
36,-3.832667e+00,-3.817463e+00,1.939587e-03
37,-3.820118e+00,-3.817535e+00,1.888493e-03
38,-3.820893e+00,-3.817623e+00,1.840862e-03
39,-3.805276e+00,-3.817307e+00,1.820683e-03
40,-3.823515e+00,-3.817462e+00,1.781771e-03
41,-3.816621e+00,-3.817441e+00,1.738431e-03
42,-3.815524e+00,-3.817396e+00,1.697639e-03
43,-3.804553e+00,-3.817097e+00,1.684227e-03
44,-3.797620e+00,-3.816654e+00,1.703130e-03
45,-3.803747e+00,-3.816367e+00,1.689261e-03
46,-3.811460e+00,-3.816261e+00,1.655904e-03
47,-3.805425e+00,-3.816030e+00,1.636641e-03
48,-3.823867e+00,-3.816194e+00,1.610667e-03
49,-3.820681e+00,-3.816285e+00,1.580398e-03
50,-3.829195e+00,-3.816543e+00,1.569741e-03
