BLOCK,GOFR_AVE,ERROR
1,6.946003e-01,7.626645e-02
2,6.947657e-01,7.600611e-02
3,6.948783e-01,7.589992e-02
4,6.944636e-01,7.608228e-02
5,6.947434e-01,7.624951e-02
6,6.946360e-01,7.604682e-02
7,6.945062e-01,7.638751e-02
8,6.941485e-01,7.649537e-02
9,6.947861e-01,7.601457e-02
10,6.946887e-01,7.603330e-02
11,6.946699e-01,7.616652e-02
12,6.947133e-01,7.581571e-02
13,6.945383e-01,7.615978e-02
14,6.946607e-01,7.615866e-02
15,6.946418e-01,7.651250e-02
16,6.944162e-01,7.636752e-02
17,6.944419e-01,7.660547e-02
18,6.946455e-01,7.599319e-02
19,6.946023e-01,7.598026e-02
20,6.944983e-01,7.623130e-02
21,6.946619e-01,7.636053e-02
22,6.947985e-01,7.608847e-02
23,6.945818e-01,7.621614e-02
24,6.949133e-01,7.573488e-02
25,6.947068e-01,7.608115e-02
26,6.943931e-01,7.638544e-02
27,6.944400e-01,7.607425e-02
28,6.946900e-01,7.608575e-02
29,6.948432e-01,7.580766e-02
30,6.947243e-01,7.598622e-02
31,6.943405e-01,7.642946e-02
32,6.944373e-01,7.619893e-02
33,6.948755e-01,7.573156e-02
34,6.947403e-01,7.629071e-02
35,6.945496e-01,7.614923e-02
36,6.944472e-01,7.635359e-02
37,6.948332e-01,7.569964e-02
38,6.945603e-01,7.633122e-02
39,6.946960e-01,7.604965e-02
40,6.945649e-01,7.641904e-02
41,6.947510e-01,7.619257e-02
42,6.946440e-01,7.598917e-02
43,6.944445e-01,7.631074e-02
44,6.946382e-01,7.612267e-02
45,6.946352e-01,7.627231e-02
46,6.947457e-01,7.615124e-02
47,6.947407e-01,7.607797e-02
48,6.948488e-01,7.583889e-02
49,6.944885e-01,7.625966e-02
50,6.944213e-01,7.605719e-02
