BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-7.547656e+00,-7.547656e+00,0.000000e+00
2,-7.538979e+00,-7.543317e+00,3.067869e-03
3,-7.539222e+00,-7.541952e+00,2.329220e-03
4,-7.535343e+00,-7.540300e+00,2.258122e-03
5,-7.550701e+00,-7.542380e+00,2.593314e-03
6,-7.543145e+00,-7.542508e+00,2.164226e-03
7,-7.553152e+00,-7.544028e+00,2.328724e-03
8,-7.551420e+00,-7.544952e+00,2.213351e-03
9,-7.539517e+00,-7.544348e+00,2.048147e-03
10,-7.542151e+00,-7.544129e+00,1.855081e-03
11,-7.548484e+00,-7.544525e+00,1.728171e-03
12,-7.531544e+00,-7.543443e+00,1.892645e-03
13,-7.543618e+00,-7.543456e+00,1.747105e-03
14,-7.543121e+00,-7.543433e+00,1.622476e-03
15,-7.562883e+00,-7.544729e+00,1.965298e-03
16,-7.548677e+00,-7.544976e+00,1.857894e-03
17,-7.562336e+00,-7.545997e+00,2.009758e-03
18,-7.536997e+00,-7.545497e+00,1.959314e-03
19,-7.535461e+00,-7.544969e+00,1.926072e-03
20,-7.546373e+00,-7.545039e+00,1.831048e-03
21,-7.553222e+00,-7.545429e+00,1.784835e-03
22,-7.543283e+00,-7.545331e+00,1.706368e-03
23,-7.545058e+00,-7.545319e+00,1.632220e-03
24,-7.529335e+00,-7.544653e+00,1.694650e-03
25,-7.545728e+00,-7.544696e+00,1.627408e-03
26,-7.553642e+00,-7.545040e+00,1.600770e-03
27,-7.538197e+00,-7.544787e+00,1.561422e-03
28,-7.537963e+00,-7.544543e+00,1.524558e-03
29,-7.534197e+00,-7.544186e+00,1.513159e-03
30,-7.536882e+00,-7.543943e+00,1.482182e-03
31,-7.551943e+00,-7.544201e+00,1.456662e-03
32,-7.546737e+00,-7.544280e+00,1.413295e-03
33,-7.530868e+00,-7.543874e+00,1.427715e-03
34,-7.552646e+00,-7.544132e+00,1.408844e-03
35,-7.539486e+00,-7.543999e+00,1.374829e-03
36,-7.549120e+00,-7.544141e+00,1.343977e-03
37,-7.527706e+00,-7.543697e+00,1.379109e-03
38,-7.551023e+00,-7.543890e+00,1.356223e-03
39,-7.540358e+00,-7.543799e+00,1.324469e-03
40,-7.554148e+00,-7.544058e+00,1.316384e-03
41,-7.549463e+00,-7.544190e+00,1.290862e-03
42,-7.537265e+00,-7.544025e+00,1.270613e-03
43,-7.551256e+00,-7.544193e+00,1.252142e-03
44,-7.542281e+00,-7.544150e+00,1.224438e-03
45,-7.550175e+00,-7.544284e+00,1.204526e-03
46,-7.546733e+00,-7.544337e+00,1.179517e-03
47,-7.539346e+00,-7.544231e+00,1.159192e-03
48,-7.534595e+00,-7.544030e+00,1.152293e-03
49,-7.547132e+00,-7.544093e+00,1.130515e-03
50,-7.540128e+00,-7.544014e+00,1.110683e-03
