BLOCK,ACTUAL_P,P_AVE,ERROR
1,-0.761484,-0.761484,0
2,-0.760346,-0.760915,0.000402397
3,-0.761044,-0.760958,0.000270558
4,-0.760866,-0.760935,0.000203883
5,-0.76127,-0.761002,0.000173767
6,-0.761083,-0.761015,0.000145332
7,-0.761045,-0.76102,0.000124633
8,-0.760953,-0.761011,0.000109334
9,-0.760994,-0.761009,9.72017e-05
10,-0.760938,-0.761002,8.77441e-05
11,-0.760591,-0.760965,8.73556e-05
12,-0.760222,-0.760903,9.96187e-05
13,-0.761354,-0.760938,9.78036e-05
14,-0.761132,-0.760952,9.18e-05
15,-0.761752,-0.761005,9.99808e-05
16,-0.760331,-0.760963,0.000102226
17,-0.761675,-0.761005,0.000104446
18,-0.760408,-0.760972,0.000103772
19,-0.760502,-0.760947,0.000101207
20,-0.761123,-0.760956,9.65285e-05
21,-0.760436,-0.760931,9.50544e-05
22,-0.760346,-0.760904,9.43746e-05
23,-0.762153,-0.760959,0.000104724
24,-0.761032,-0.760962,0.000100405
25,-0.761183,-0.76097,9.67801e-05
26,-0.761727,-0.761,9.73357e-05
27,-0.759894,-0.760959,0.000101975
28,-0.760973,-0.760959,9.83341e-05
29,-0.761408,-0.760975,9.61531e-05
30,-0.761363,-0.760988,9.38144e-05
31,-0.761035,-0.760989,9.08007e-05
32,-0.760849,-0.760985,8.80692e-05
33,-0.76071,-0.760976,8.57934e-05
34,-0.760494,-0.760962,8.44369e-05
35,-0.760451,-0.760948,8.32758e-05
36,-0.760947,-0.760948,8.09626e-05
37,-0.761282,-0.760957,7.92787e-05
38,-0.760764,-0.760952,7.73544e-05
39,-0.761023,-0.760953,7.53925e-05
40,-0.761225,-0.76096,7.38131e-05
41,-0.761378,-0.76097,7.27146e-05
42,-0.760926,-0.760969,7.09911e-05
43,-0.761098,-0.760972,6.94029e-05
44,-0.760993,-0.760973,6.78271e-05
45,-0.760321,-0.760958,6.78505e-05
46,-0.760582,-0.76095,6.68657e-05
47,-0.761074,-0.760953,6.54952e-05
48,-0.76102,-0.760954,6.41455e-05
49,-0.760881,-0.760953,6.2854e-05
50,-0.760816,-0.76095,6.16566e-05
