BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.06829,1.06829,0
2,0.517822,0.793056,0.194619
3,0.731148,0.77242,0.130836
4,0.778559,0.773955,0.0981357
5,0.796538,0.778471,0.0786124
6,0.845679,0.789673,0.0663036
7,0.752624,0.78438,0.0570425
8,0.799571,0.786279,0.0499438
9,0.805895,0.788458,0.044442
10,0.717942,0.781407,0.0405534
11,0.753334,0.778855,0.0369469
12,0.815317,0.781893,0.0339927
13,0.795556,0.782944,0.0313942
14,0.816118,0.785314,0.029241
15,0.748622,0.782868,0.0273937
16,0.77889,0.782619,0.0256827
17,0.770869,0.781928,0.0241813
18,0.822881,0.784203,0.0229447
19,0.756265,0.782733,0.0217841
20,0.736064,0.780399,0.0208195
