BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.35506,-6.35506,0
2,-6.33193,-6.34349,0.00818037
3,-6.34637,-6.34445,0.00550959
4,-6.34363,-6.34425,0.00413602
5,-6.35034,-6.34547,0.00348351
6,-6.34803,-6.34589,0.002929
7,-6.34585,-6.34589,0.00251057
8,-6.3451,-6.34579,0.00219869
9,-6.34579,-6.34579,0.00195439
10,-6.34474,-6.34569,0.00176177
11,-6.33755,-6.34495,0.00175
12,-6.32954,-6.34366,0.00202111
13,-6.35311,-6.34439,0.00199193
14,-6.34805,-6.34465,0.00186672
15,-6.36046,-6.3457,0.00201795
16,-6.3321,-6.34485,0.00206325
17,-6.35952,-6.34572,0.00211462
18,-6.33437,-6.34509,0.00208901
19,-6.33566,-6.34459,0.00203705
20,-6.34837,-6.34478,0.00194396
21,-6.33406,-6.34427,0.0019172
22,-6.33319,-6.34376,0.00189506
23,-6.36797,-6.34482,0.00208453
24,-6.34668,-6.34489,0.00199912
25,-6.3502,-6.34511,0.0019304
26,-6.35987,-6.34567,0.00193788
27,-6.32353,-6.34485,0.00203227
28,-6.34534,-6.34487,0.00195976
29,-6.35317,-6.34516,0.00191296
30,-6.35335,-6.34543,0.00186857
31,-6.34685,-6.34548,0.00180885
32,-6.34323,-6.34541,0.00175369
33,-6.3404,-6.34525,0.0017071
34,-6.33544,-6.34497,0.00168114
35,-6.33495,-6.34468,0.0016573
36,-6.34608,-6.34472,0.00161172
37,-6.35079,-6.34488,0.0015765
38,-6.34096,-6.34478,0.00153839
39,-6.34636,-6.34482,0.00149948
40,-6.35056,-6.34496,0.00146884
41,-6.35287,-6.34516,0.00144563
42,-6.34426,-6.34514,0.00141137
43,-6.34807,-6.3452,0.00138019
44,-6.3461,-6.34522,0.00134897
45,-6.33208,-6.34493,0.00135023
46,-6.33753,-6.34477,0.00133043
47,-6.34765,-6.34483,0.00130354
48,-6.34612,-6.34486,0.00127665
49,-6.344,-6.34484,0.00125072
50,-6.34319,-6.34481,0.00122614
