N_BLOCK,ACCEPTANCE
1,0.509486
2,0.509097
3,0.508443
4,0.508633
5,0.50857
6,0.508423
7,0.508341
8,0.508438
9,0.508453
10,0.508524
11,0.508423
12,0.508443
13,0.508533
14,0.508372
15,0.508397
16,0.508284
17,0.508395
18,0.508447
19,0.508399
20,0.508241
21,0.508286
22,0.508188
23,0.508228
24,0.508252
25,0.50819
26,0.508185
27,0.508192
28,0.508161
29,0.508205
30,0.508203
31,0.50818
32,0.508146
33,0.508131
34,0.508128
35,0.508142
36,0.508138
37,0.508158
38,0.508153
39,0.50817
40,0.508134
41,0.508173
42,0.508204
43,0.50819
44,0.508188
45,0.508193
46,0.508211
47,0.508194
48,0.508237
49,0.508247
50,0.508247
1,0.507111
2,0.507981
3,0.508594
4,0.508801
5,0.508481
6,0.508471
7,0.508464
8,0.50874
9,0.508416
10,0.508293
11,0.508326
12,0.508367
13,0.508417
14,0.508425
15,0.508396
16,0.508453
17,0.508411
18,0.508426
19,0.508433
20,0.508402
21,0.508404
22,0.508362
23,0.508353
24,0.508316
25,0.50831
26,0.508355
27,0.508331
28,0.508308
29,0.508228
30,0.508294
31,0.508288
32,0.508299
33,0.508284
34,0.508256
35,0.508273
36,0.508273
37,0.508317
38,0.50833
39,0.508286
40,0.508312
41,0.508305
42,0.508307
43,0.508329
44,0.508306
45,0.508309
46,0.508306
47,0.508302
48,0.508289
49,0.508277
50,0.508325
