BLOCK,GOFR_AVE,ERROR
1,6.945482e-01,7.626207e-02
2,6.944622e-01,7.630618e-02
3,6.945482e-01,7.636677e-02
4,6.941075e-01,7.685271e-02
5,6.944564e-01,7.647969e-02
6,6.943483e-01,7.612798e-02
7,6.947193e-01,7.636107e-02
8,6.945539e-01,7.628685e-02
9,6.944819e-01,7.624334e-02
10,6.945955e-01,7.636543e-02
11,6.944533e-01,7.647060e-02
12,6.944860e-01,7.665349e-02
13,6.944675e-01,7.642236e-02
14,6.947840e-01,7.587121e-02
15,6.943876e-01,7.629445e-02
16,6.947467e-01,7.602472e-02
17,6.945834e-01,7.635358e-02
18,6.946199e-01,7.620356e-02
19,6.946911e-01,7.607366e-02
20,6.944384e-01,7.612872e-02
21,6.945323e-01,7.645620e-02
22,6.945417e-01,7.630867e-02
23,6.946313e-01,7.606748e-02
24,6.943893e-01,7.632728e-02
25,6.945700e-01,7.631228e-02
26,6.945751e-01,7.638962e-02
27,6.947231e-01,7.566653e-02
28,6.945406e-01,7.603337e-02
29,6.946037e-01,7.619374e-02
30,6.945088e-01,7.625782e-02
31,6.945016e-01,7.625008e-02
32,6.946332e-01,7.618817e-02
33,6.946718e-01,7.616090e-02
34,6.949056e-01,7.579104e-02
35,6.945362e-01,7.619951e-02
36,6.947162e-01,7.597422e-02
37,6.944509e-01,7.617315e-02
38,6.946776e-01,7.594703e-02
39,6.945408e-01,7.611055e-02
40,6.945184e-01,7.667147e-02
41,6.947673e-01,7.609876e-02
42,6.944165e-01,7.605406e-02
43,6.945661e-01,7.605132e-02
44,6.944342e-01,7.653187e-02
45,6.947177e-01,7.612261e-02
46,6.949750e-01,7.567222e-02
47,6.945339e-01,7.619182e-02
48,6.945217e-01,7.635054e-02
49,6.944921e-01,7.622083e-02
50,6.945135e-01,7.610472e-02
