BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-7.55124,-7.55124,0
2,-7.55113,-7.55118,4.15414e-05
3,-7.55418,-7.55218,0.000815981
4,-7.56585,-7.5556,0.00302141
5,-7.55539,-7.55556,0.00241741
6,-7.54176,-7.55326,0.00291007
7,-7.55473,-7.55347,0.00250197
8,-7.54898,-7.55291,0.00225115
9,-7.54535,-7.55207,0.0021518
10,-7.55557,-7.55242,0.00196487
11,-7.55433,-7.55259,0.00179395
12,-7.56329,-7.55348,0.0018527
13,-7.55141,-7.55332,0.00171703
14,-7.53543,-7.55205,0.00201479
15,-7.54407,-7.55151,0.0019494
16,-7.53887,-7.55072,0.0019813
17,-7.55561,-7.55101,0.00188546
18,-7.54229,-7.55053,0.0018419
19,-7.54183,-7.55007,0.00180098
20,-7.54077,-7.5496,0.00176994
21,-7.55646,-7.54993,0.00171552
22,-7.55006,-7.54994,0.00163756
23,-7.54272,-7.54962,0.00159611
24,-7.55062,-7.54966,0.00153014
25,-7.55355,-7.54982,0.00147681
26,-7.55218,-7.54991,0.0014228
27,-7.52823,-7.54911,0.00158045
28,-7.53829,-7.54872,0.00157049
29,-7.54467,-7.54858,0.00152253
30,-7.54794,-7.54856,0.00147193
31,-7.54729,-7.54852,0.00142502
32,-7.54644,-7.54845,0.00138197
33,-7.54533,-7.54836,0.00134334
34,-7.53199,-7.54788,0.00138743
35,-7.54366,-7.54776,0.00135302
36,-7.53876,-7.54751,0.00133832
37,-7.54537,-7.54745,0.0013034
38,-7.53768,-7.54719,0.0012942
39,-7.5454,-7.54715,0.00126183
40,-7.56629,-7.54762,0.0013179
41,-7.54383,-7.54753,0.001289
42,-7.53892,-7.54733,0.00127451
43,-7.54213,-7.54721,0.00125059
44,-7.55633,-7.54741,0.00123923
45,-7.54629,-7.54739,0.00121194
46,-7.53078,-7.54703,0.00123822
47,-7.54289,-7.54694,0.001215
48,-7.54977,-7.547,0.00119112
49,-7.54292,-7.54692,0.00116972
50,-7.54001,-7.54678,0.00115445
