BLOCK,ACTUAL_P,P_AVE,ERROR
1,-0.761293,-0.761293,0
2,-0.761262,-0.761278,1.07852e-05
3,-0.761435,-0.76133,4.33424e-05
4,-0.762004,-0.761498,0.000149478
5,-0.76151,-0.761501,0.0001196
6,-0.760761,-0.761377,0.000150356
7,-0.761493,-0.761394,0.000129776
8,-0.761185,-0.761368,0.000116158
9,-0.76097,-0.761323,0.000111356
10,-0.761508,-0.761342,0.000101744
11,-0.761428,-0.76135,9.27969e-05
12,-0.761887,-0.761394,9.52544e-05
13,-0.761258,-0.761384,8.85008e-05
14,-0.760513,-0.761322,0.000101727
15,-0.760886,-0.761293,9.90081e-05
16,-0.76065,-0.761253,0.000100643
17,-0.761511,-0.761268,9.58637e-05
18,-0.760871,-0.761246,9.30319e-05
19,-0.760821,-0.761223,9.078e-05
20,-0.760704,-0.761197,8.98721e-05
21,-0.761565,-0.761215,8.72813e-05
22,-0.761218,-0.761215,8.33141e-05
23,-0.760861,-0.7612,8.1104e-05
24,-0.761265,-0.761202,7.77702e-05
25,-0.761409,-0.761211,7.50967e-05
26,-0.761346,-0.761216,7.23889e-05
27,-0.76012,-0.761175,8.02896e-05
28,-0.76063,-0.761156,7.97453e-05
29,-0.760949,-0.761149,7.7315e-05
30,-0.761093,-0.761147,7.47602e-05
31,-0.761047,-0.761144,7.24175e-05
32,-0.761017,-0.76114,7.02627e-05
33,-0.760953,-0.761134,6.83612e-05
34,-0.760288,-0.761109,7.07385e-05
35,-0.760873,-0.761102,6.90392e-05
36,-0.760696,-0.761091,6.80393e-05
37,-0.760964,-0.761088,6.62866e-05
38,-0.760615,-0.761075,6.56976e-05
39,-0.76097,-0.761072,6.40683e-05
40,-0.762052,-0.761097,6.69828e-05
41,-0.760875,-0.761092,6.55678e-05
42,-0.760645,-0.761081,6.48649e-05
43,-0.760784,-0.761074,6.37223e-05
44,-0.761524,-0.761084,6.30888e-05
45,-0.761029,-0.761083,6.16986e-05
46,-0.760275,-0.761065,6.28083e-05
47,-0.760815,-0.76106,6.16971e-05
48,-0.761162,-0.761062,6.04483e-05
49,-0.760818,-0.761057,5.9419e-05
50,-0.7607,-0.76105,5.86596e-05
