BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.351243e+00,-6.351243e+00,0.000000e+00
2,-6.351125e+00,-6.351184e+00,4.154136e-05
3,-6.354180e+00,-6.352183e+00,8.159809e-04
4,-6.365849e+00,-6.355599e+00,3.021414e-03
5,-6.355394e+00,-6.355558e+00,2.417408e-03
6,-6.341755e+00,-6.353258e+00,2.910073e-03
7,-6.354733e+00,-6.353468e+00,2.501969e-03
8,-6.348984e+00,-6.352908e+00,2.251152e-03
9,-6.345354e+00,-6.352069e+00,2.151799e-03
10,-6.355568e+00,-6.352418e+00,1.964868e-03
11,-6.354335e+00,-6.352593e+00,1.793952e-03
12,-6.363289e+00,-6.353484e+00,1.852704e-03
13,-6.351412e+00,-6.353325e+00,1.717032e-03
14,-6.335429e+00,-6.352046e+00,2.014786e-03
15,-6.344068e+00,-6.351514e+00,1.949404e-03
16,-6.338869e+00,-6.350724e+00,1.981302e-03
17,-6.355607e+00,-6.351011e+00,1.885456e-03
18,-6.342291e+00,-6.350527e+00,1.841903e-03
19,-6.341827e+00,-6.350069e+00,1.800978e-03
20,-6.340769e+00,-6.349604e+00,1.769939e-03
21,-6.356462e+00,-6.349931e+00,1.715524e-03
22,-6.350057e+00,-6.349936e+00,1.637555e-03
23,-6.342723e+00,-6.349623e+00,1.596106e-03
24,-6.350619e+00,-6.349664e+00,1.530141e-03
25,-6.353551e+00,-6.349820e+00,1.476811e-03
26,-6.352180e+00,-6.349910e+00,1.422797e-03
27,-6.328234e+00,-6.349108e+00,1.580455e-03
28,-6.338294e+00,-6.348721e+00,1.570488e-03
29,-6.344672e+00,-6.348582e+00,1.522530e-03
30,-6.347939e+00,-6.348560e+00,1.471929e-03
31,-6.347293e+00,-6.348519e+00,1.425015e-03
32,-6.346435e+00,-6.348454e+00,1.381971e-03
33,-6.345325e+00,-6.348359e+00,1.343342e-03
34,-6.331990e+00,-6.347878e+00,1.387426e-03
35,-6.343656e+00,-6.347757e+00,1.353020e-03
36,-6.338761e+00,-6.347507e+00,1.338317e-03
37,-6.345366e+00,-6.347450e+00,1.303397e-03
38,-6.337681e+00,-6.347193e+00,1.294200e-03
39,-6.345396e+00,-6.347146e+00,1.261835e-03
40,-6.366287e+00,-6.347625e+00,1.317900e-03
41,-6.343833e+00,-6.347533e+00,1.288998e-03
42,-6.338920e+00,-6.347327e+00,1.274515e-03
43,-6.342133e+00,-6.347207e+00,1.250587e-03
44,-6.356328e+00,-6.347414e+00,1.239229e-03
45,-6.346286e+00,-6.347389e+00,1.211944e-03
46,-6.330779e+00,-6.347028e+00,1.238221e-03
47,-6.342888e+00,-6.346940e+00,1.215004e-03
48,-6.349771e+00,-6.346999e+00,1.191122e-03
49,-6.342919e+00,-6.346915e+00,1.169720e-03
50,-6.340009e+00,-6.346777e+00,1.154452e-03
