blocks,extractions,energy,error
1,10000,-0.114421,0
2,20000,-0.116101,0.00167963
3,30000,-0.125633,0.00958175
4,40000,-0.135475,0.0119484
5,50000,-0.137559,0.00948698
6,60000,-0.134501,0.00832804
7,70000,-0.136178,0.00723553
8,80000,-0.139417,0.00705398
9,90000,-0.138628,0.00627092
10,100000,-0.139801,0.00573034
11,110000,-0.140482,0.00522779
12,120000,-0.140847,0.00478626
13,130000,-0.143036,0.00491671
14,140000,-0.141514,0.00479984
15,150000,-0.141671,0.00447116
16,160000,-0.142058,0.00420032
17,170000,-0.142838,0.0040218
18,180000,-0.14443,0.00411263
19,190000,-0.14436,0.0038908
20,200000,-0.14439,0.00369126
21,210000,-0.144017,0.00353078
22,220000,-0.143124,0.00348301
23,230000,-0.14353,0.0033528
24,240000,-0.143579,0.00321043
25,250000,-0.143154,0.00310845
26,260000,-0.142406,0.00307879
27,270000,-0.141881,0.00300877
28,280000,-0.141558,0.00291727
29,290000,-0.141519,0.00281513
30,300000,-0.141248,0.00273319
31,310000,-0.141314,0.00264438
32,320000,-0.14096,0.00258483
33,330000,-0.141202,0.00251698
34,340000,-0.141354,0.00244652
35,350000,-0.141638,0.00239253
36,360000,-0.142523,0.0024879
37,370000,-0.14242,0.00242193
38,380000,-0.142156,0.00237202
39,390000,-0.141964,0.00231841
40,400000,-0.141628,0.00228456
41,410000,-0.142299,0.00232705
42,420000,-0.142292,0.00227098
43,430000,-0.142618,0.00224144
44,440000,-0.142742,0.00219339
45,450000,-0.142623,0.00214739
46,460000,-0.142343,0.00211871
47,470000,-0.142944,0.00215848
48,480000,-0.14314,0.00212205
49,490000,-0.143404,0.00209508
50,500000,-0.143487,0.00205442
51,510000,-0.143018,0.0020677
52,520000,-0.142649,0.00206078
53,530000,-0.142895,0.00203649
54,540000,-0.142633,0.00201556
55,550000,-0.142752,0.00198216
56,560000,-0.142963,0.00195783
57,570000,-0.142798,0.00193024
58,580000,-0.142901,0.00189946
59,590000,-0.142865,0.00186734
60,600000,-0.142799,0.00183716
61,610000,-0.142799,0.00180679
62,620000,-0.142629,0.00178552
63,630000,-0.143079,0.00181382
64,640000,-0.143047,0.00178554
65,650000,-0.142996,0.00175861
66,660000,-0.142952,0.00173232
67,670000,-0.142908,0.00170682
68,680000,-0.142936,0.00168176
69,690000,-0.143222,0.00168175
70,700000,-0.14319,0.00165788
71,710000,-0.143164,0.00163456
72,720000,-0.14326,0.00161457
73,730000,-0.14335,0.00159482
74,740000,-0.143458,0.00157681
75,750000,-0.143478,0.00155577
76,760000,-0.143287,0.00154694
77,770000,-0.143267,0.00152684
78,780000,-0.143391,0.00151218
79,790000,-0.143538,0.00150023
80,800000,-0.143729,0.00149355
81,810000,-0.143814,0.00147746
82,820000,-0.144516,0.00161936
83,830000,-0.144635,0.00160412
84,840000,-0.144363,0.00160801
85,850000,-0.144568,0.00160215
86,860000,-0.144713,0.00159005
87,870000,-0.144707,0.00157168
88,880000,-0.144575,0.00155929
89,890000,-0.144504,0.00154327
90,900000,-0.144513,0.00152605
91,910000,-0.144648,0.00151523
92,920000,-0.144799,0.00150626
93,930000,-0.144754,0.00149066
94,940000,-0.14449,0.00149821
95,950000,-0.14442,0.00148397
96,960000,-0.144629,0.00148312
97,970000,-0.144649,0.0014679
98,980000,-0.144701,0.00145378
99,990000,-0.144822,0.00144408
100,1000000,-0.1449,0.00143168
