blocks,extractions,energy,error
1,10000,-0.331543,0
2,20000,-0.324647,0.00689628
3,30000,-0.307789,0.0173217
4,40000,-0.30936,0.0123486
5,50000,-0.310013,0.00958751
6,60000,-0.30596,0.00881523
7,70000,-0.303545,0.0078319
8,80000,-0.304118,0.00680676
9,90000,-0.302678,0.00617325
10,100000,-0.29753,0.00754932
11,110000,-0.294944,0.00730192
12,120000,-0.298186,0.00741253
13,130000,-0.298624,0.00683255
14,140000,-0.299307,0.00636251
15,150000,-0.299156,0.0059251
16,160000,-0.297497,0.00578539
17,170000,-0.295137,0.00592439
18,180000,-0.295521,0.00559874
19,190000,-0.29392,0.00553256
20,200000,-0.294558,0.00528726
21,210000,-0.294646,0.00502996
22,220000,-0.295262,0.00483522
23,230000,-0.294672,0.00465773
24,240000,-0.295022,0.0044732
25,250000,-0.293768,0.00447009
26,260000,-0.29511,0.00449953
27,270000,-0.296002,0.00442065
28,280000,-0.296318,0.00427153
29,290000,-0.297175,0.00420977
30,300000,-0.29583,0.00428361
31,310000,-0.295552,0.00415249
32,320000,-0.29571,0.00402374
33,330000,-0.295672,0.00390009
34,340000,-0.296052,0.00380269
35,350000,-0.296223,0.00369639
36,360000,-0.296317,0.00359348
37,370000,-0.295096,0.00370239
38,380000,-0.295484,0.00362451
39,390000,-0.29479,0.00359794
40,400000,-0.293281,0.00381769
41,410000,-0.293355,0.00372415
42,420000,-0.293632,0.0036449
43,430000,-0.292684,0.00368301
44,440000,-0.293539,0.0036984
45,450000,-0.294195,0.00367437
46,460000,-0.292635,0.00391782
47,470000,-0.292787,0.0038366
48,480000,-0.292938,0.00375883
49,490000,-0.292716,0.003688
50,500000,-0.292805,0.00361457
51,510000,-0.29324,0.00356965
52,520000,-0.292776,0.00353102
53,530000,-0.29289,0.00346565
54,540000,-0.293106,0.0034077
55,550000,-0.292928,0.00334991
56,560000,-0.292928,0.00328955
57,570000,-0.292593,0.00324872
58,580000,-0.292725,0.00319494
59,590000,-0.293466,0.00322665
60,600000,-0.293046,0.00320004
61,610000,-0.293226,0.00315229
62,620000,-0.293338,0.00310305
63,630000,-0.292393,0.00319651
64,640000,-0.293414,0.003308
65,650000,-0.293678,0.00326732
66,660000,-0.293889,0.00322439
67,670000,-0.294022,0.00317869
68,680000,-0.294568,0.00317877
69,690000,-0.294674,0.00313415
70,700000,-0.294766,0.00309043
71,710000,-0.295144,0.00306996
72,720000,-0.295186,0.00302731
73,730000,-0.295189,0.00298556
74,740000,-0.2955,0.00296126
75,750000,-0.295574,0.00292244
76,760000,-0.295536,0.00288398
77,770000,-0.295609,0.00284719
78,780000,-0.295508,0.00281225
79,790000,-0.295647,0.00277988
80,800000,-0.295605,0.00274523
81,810000,-0.295485,0.00271379
82,820000,-0.295467,0.00268055
83,830000,-0.295348,0.0026507
84,840000,-0.295461,0.00262137
85,850000,-0.295953,0.00263665
86,860000,-0.295944,0.00260583
87,870000,-0.296152,0.00258409
88,880000,-0.29621,0.00255521
89,890000,-0.296291,0.00252765
90,900000,-0.296185,0.00250168
91,910000,-0.295909,0.00248941
92,920000,-0.295891,0.00246227
93,930000,-0.295869,0.00243574
94,940000,-0.295843,0.00240984
95,950000,-0.295986,0.00238861
96,960000,-0.296023,0.0023639
97,970000,-0.296366,0.0023644
98,980000,-0.296451,0.00234169
99,990000,-0.296501,0.00231845
100,1000000,-0.296534,0.00229539
