n	x       	y
1	0.917172	0.959952
2	0.171223	0.732043
3	0.762378	0.352775
4	0.630409	0.071614
5	0.421648	0.693250
6	0.640271	0.441531
7	0.062333	0.714074
8	0.124856	0.183904
9	0.388136	0.498415
10	0.048443	0.883976
11	0.818327	0.220306
12	0.470991	0.422150
13	0.081447	0.216842
14	0.284868	0.507916
15	0.516019	0.113897
16	0.581673	0.397324
17	0.054372	0.763574
18	0.236229	0.731555
19	0.893684	0.855360
20	0.151484	0.304693
21	0.580300	0.860949
22	0.673310	0.497833
23	0.655124	0.810605
24	0.354586	0.496719
25	0.291648	0.841174
26	0.826144	0.102575
27	0.322146	0.785727
28	0.727183	0.780682
29	0.666508	0.794165
30	0.074858	0.867457
31	0.082868	0.303730
32	0.133363	0.841843
33	0.136746	0.057625
34	0.704739	0.997061
