generation,best_loss,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,city_23,city_24,city_25,city_26,city_27,city_28,city_29,city_30,city_31,city_32,city_33,city_34
1,30.4834,0,9,31,28,7,22,30,27,8,10,24,25,11,12,33,4,32,21,2,26,5,15,17,19,3,16,14,20,29,13,18,23,6,1
2,25.8891,0,9,31,28,7,22,30,27,8,10,24,25,11,12,33,4,32,6,21,2,26,5,15,17,19,3,16,14,20,29,23,1,13,18
3,24.7022,0,20,14,16,3,19,17,15,5,26,2,21,6,32,4,33,12,11,25,24,10,8,27,30,22,7,28,31,9,18,13,1,23,29
4,22.5921,0,20,14,16,3,19,17,15,5,26,4,9,2,21,6,32,33,12,11,25,24,10,8,27,30,31,29,28,23,18,13,22,7,1
5,20.1894,0,20,14,16,3,19,17,15,5,26,4,10,24,25,11,12,33,32,6,21,2,9,8,27,30,31,29,28,23,18,13,7,22,1
6,19.5657,0,20,14,16,3,19,17,15,5,26,4,10,24,25,11,9,2,21,6,32,33,12,8,27,30,31,29,28,23,18,13,7,22,1
7,18.3621,0,20,14,16,3,19,17,15,5,26,4,31,24,25,11,9,2,21,6,32,33,12,8,27,30,10,29,28,23,18,13,7,22,1
8,17.2343,0,20,14,16,3,19,17,15,5,26,4,31,8,25,11,9,2,21,6,32,33,12,24,27,30,10,29,28,23,18,13,7,22,1
9,15.9497,0,20,7,13,18,14,16,3,19,17,15,5,26,4,31,8,25,11,9,2,21,6,32,33,12,24,27,30,10,29,28,23,22,1
10,15.0499,0,20,7,13,18,14,16,3,19,17,15,5,26,4,31,8,25,11,9,2,21,6,12,33,32,24,27,30,10,29,28,23,22,1
11,14.4257,0,20,7,13,18,14,16,3,19,17,15,5,26,4,31,12,25,11,9,2,21,6,8,33,32,24,27,30,10,29,28,23,22,1
12,13.6646,0,20,7,13,18,14,16,3,19,5,15,17,26,4,31,12,25,11,9,2,21,6,8,32,33,24,27,30,10,29,28,23,22,1
13,13.1687,0,20,7,13,18,14,16,3,19,5,15,17,26,4,31,12,25,11,9,2,21,6,8,32,33,24,27,30,10,29,28,22,23,1
14,12.9037,0,7,20,13,18,14,16,3,19,5,15,17,26,4,31,12,25,11,9,2,21,6,8,32,33,24,27,30,10,29,28,22,23,1
15,12.8962,0,7,20,13,18,14,16,3,19,15,5,17,26,4,31,12,25,11,9,2,21,6,8,32,33,24,27,30,10,29,28,22,23,1
16,12.6778,0,7,20,13,18,14,16,3,19,15,5,17,26,4,31,12,9,11,25,2,21,6,8,32,33,24,27,30,10,29,28,22,23,1
17,12.669,0,7,20,13,18,14,16,3,19,15,5,17,26,4,31,12,11,9,25,2,21,6,8,32,33,24,27,30,10,29,28,22,23,1
18,12.4505,0,7,20,13,18,14,28,16,3,19,15,5,17,26,4,31,12,9,11,25,2,21,6,8,32,33,24,27,30,10,29,22,23,1
19,11.8163,0,18,13,20,7,1,23,22,29,10,30,27,24,26,4,31,12,9,11,25,2,21,6,8,32,33,17,5,15,19,3,16,28,14
20,11.8163,0,18,13,20,7,1,23,22,29,10,30,27,24,26,4,31,12,9,11,25,2,21,6,8,32,33,17,5,15,19,3,16,28,14
21,11.8163,0,18,13,20,7,1,23,22,29,10,30,27,24,26,4,31,12,9,11,25,2,21,6,8,32,33,17,5,15,19,3,16,28,14
22,11.6955,0,18,13,20,7,1,23,22,29,10,30,27,24,26,4,15,5,17,33,32,8,6,21,2,12,11,9,25,31,19,3,16,28,14
23,11.5014,0,18,13,20,7,1,23,22,29,10,30,27,24,26,4,15,5,31,33,32,12,9,11,25,2,21,6,8,19,17,3,16,28,14
24,11.5014,0,18,13,20,7,1,23,22,29,10,30,27,24,26,4,15,5,31,33,32,12,9,11,25,2,21,6,8,19,17,3,16,28,14
25,11.4671,0,18,13,20,7,1,23,22,29,10,30,4,24,26,27,15,5,31,33,32,12,9,11,25,2,21,6,8,19,17,3,16,28,14
26,11.4596,0,18,13,20,7,1,23,22,29,10,30,4,24,26,27,5,15,31,33,32,12,9,11,25,2,21,6,8,19,17,3,16,28,14
27,11.4596,0,18,13,20,7,1,23,22,29,10,30,4,24,26,27,5,15,31,33,32,12,9,11,25,2,21,6,8,19,17,3,16,28,14
28,11.4596,0,18,13,20,7,1,23,22,29,10,30,4,24,26,27,5,15,31,33,32,12,9,11,25,2,21,6,8,19,17,3,16,28,14
29,11.2874,0,18,13,20,7,1,23,22,29,10,30,4,24,26,27,5,15,31,33,32,9,11,12,25,2,21,6,8,19,17,3,16,28,14
30,11.2874,0,18,13,20,7,1,23,22,29,10,30,4,24,26,27,5,15,31,33,32,9,11,12,25,2,21,6,8,19,17,3,16,28,14
31,10.9745,0,18,13,20,7,1,23,22,29,10,30,4,24,26,27,5,15,31,33,32,9,11,12,25,21,2,6,8,19,17,3,16,28,14
