generation,best_loss,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18,city_19,city_20,city_21,city_22,city_23,city_24,city_25,city_26,city_27,city_28,city_29,city_30,city_31,city_32,city_33,city_34
1,13.8504,0,28,15,17,32,23,3,21,7,14,24,26,13,22,20,9,8,19,4,12,6,16,30,10,25,2,5,11,29,1,27,33,31,18
2,12.5363,0,33,25,23,8,11,18,27,4,17,9,13,21,24,26,19,10,14,30,32,7,3,29,16,12,15,2,31,1,6,5,20,22,28
3,11.5135,0,18,10,25,4,17,9,13,5,23,8,11,27,21,24,26,19,14,30,32,7,3,29,16,12,15,2,31,1,6,33,20,22,28
4,10.5961,0,33,21,25,23,8,11,18,27,4,17,9,13,24,26,19,10,14,30,32,7,3,2,15,12,16,29,31,1,6,5,20,22,28
5,10.0578,0,18,10,25,4,17,9,13,8,23,5,11,27,33,21,24,26,19,14,30,32,7,3,2,15,12,16,31,29,1,6,20,22,28
6,9.85651,0,18,33,25,21,23,8,11,27,4,17,9,13,24,26,19,10,14,15,2,3,7,32,30,12,16,29,31,1,6,5,20,22,28
7,9.37551,0,18,10,25,4,17,9,13,8,23,5,11,27,33,21,24,26,19,14,15,2,3,7,32,30,12,16,29,31,1,6,20,22,28
8,9.19997,0,33,25,21,23,13,8,11,18,27,4,17,9,24,26,19,10,14,15,5,2,3,7,32,30,12,16,29,31,1,6,20,22,28
9,9.08776,0,33,25,21,23,13,8,11,18,27,4,17,9,24,6,19,10,14,15,5,2,3,7,32,30,12,16,29,31,1,26,20,22,28
10,8.8684,0,18,33,25,21,23,13,8,11,27,4,17,9,24,6,19,10,14,15,5,2,3,7,32,30,12,16,29,31,1,26,20,22,28
11,8.75382,0,18,33,25,21,23,13,8,11,27,4,17,9,16,6,19,10,14,15,5,2,3,7,32,30,12,24,29,31,1,26,20,22,28
12,8.29455,0,18,33,25,10,21,23,13,8,11,27,4,17,9,24,6,19,14,15,5,2,3,7,32,30,12,16,29,31,1,26,20,22,28
13,8.17996,0,18,33,25,10,21,23,13,8,11,27,4,17,9,16,6,19,14,15,5,2,3,7,32,30,12,24,29,31,1,26,20,22,28
