n	x       	y
1	0.717473	0.696586
2	0.482205	0.876058
3	-0.127518	-0.991836
4	-0.488159	0.872755
5	-0.989680	0.143298
6	-0.899859	-0.436181
7	-0.278816	-0.960344
8	0.857503	0.514478
9	-0.556778	-0.830661
10	0.828785	-0.559567
11	-0.691370	0.722501
12	0.517489	-0.855690
13	0.162934	-0.986637
14	0.991194	0.132421
15	0.490951	0.871187
16	-0.898197	-0.439593
17	-0.182645	0.983179
18	-0.958776	-0.284163
19	0.994097	0.108496
20	-0.866511	-0.499159
21	0.918643	0.395088
22	0.029236	-0.999573
23	0.105631	0.994405
24	0.348810	0.937194
25	-0.999094	0.042548
26	0.037988	-0.999278
27	-0.991421	0.130705
28	-0.999350	0.036060
29	-0.049576	0.998770
30	0.067379	0.997727
31	-0.984340	0.176281
32	-0.861008	-0.508592
33	-0.742544	-0.669797
34	-0.874885	-0.484330
