generation,path_1
1,515.909
2,498.276
3,492.861
4,477.865
5,477.734
6,455.529
7,452.182
8,439.629
9,439.629
10,437.825
11,437.825
12,420.593
13,413.257
14,395.091
15,395.091
16,380.401
17,380.079
18,377.063
19,377.063
20,376.575
21,376.575
22,376.575
23,374.509
24,370.157
25,369.287
26,365.596
27,364.175
28,354.218
29,348.912
30,345.626
31,337.135
32,337.135
33,337.135
34,337.135
35,337.135
36,337.115
37,333.999
38,331.65
39,331.65
40,326.499
41,326.499
42,324.879
43,324.879
44,317.703
45,317.703
46,314.386
47,314.386
48,313.711
49,313.711
50,309.571
51,309.571
52,307.648
53,307.648
54,305.046
55,305.046
56,304.739
57,304.739
58,300.165
59,299.255
60,292.424
61,292.424
62,291.944
63,291.944
64,291.39
65,291.39
66,291.835
67,291.038
68,291.038
69,291.038
70,287.707
71,286.948
72,286.948
73,283.925
74,283.925
75,283.925
76,283.925
77,281.349
78,281.349
79,281.349
80,281.124
81,281.124
82,281.124
83,281.022
84,277.376
85,268.377
86,268.377
87,267.844
88,267.805
89,267.805
90,267.805
91,267.474
92,266.346
93,266.346
94,266.346
95,265.744
96,265.744
97,265.744
98,262.53
99,262.53
100,262.235
101,258.805
102,254.374
103,250.964
104,250.964
105,250.964
106,249.936
107,249.936
108,249.936
109,249.936
110,247.829
111,246.466
112,246.466
113,244.173
114,244.173
115,244.173
116,242.381
117,242.381
118,242.381
119,239.649
120,239.649
121,239.649
122,239.017
123,239.017
124,239.017
125,239.017
126,239.017
127,239.017
128,239.017
129,239.017
130,239.033
131,239.033
132,239.033
133,239.187
134,239.187
135,238.86
136,238.86
137,238.86
138,235.13
139,235.13
140,235.13
141,235.13
142,235.13
143,234.961
144,233.602
145,233.455
146,233.455
147,233.455
148,231.52
149,231.52
150,231.322
151,231.322
152,231.322
153,224.665
154,224.665
155,224.746
156,221.946
157,221.946
158,221.45
159,221.45
160,221.45
161,221.45
162,221.45
163,221.45
164,221.45
165,221.45
166,219.179
167,219.179
168,219.179
169,219.179
170,219.179
171,219.126
172,217.89
173,217.89
174,217.89
175,217.89
176,217.89
177,217.89
178,217.89
179,217.89
180,215.682
181,215.682
182,212.324
183,212.324
184,212.324
185,212.324
186,210.513
187,210.513
188,208.579
189,208.579
190,208.579
191,208.579
192,208.579
193,208.579
194,208.579
195,208.579
196,208.579
197,208.579
198,206.903
199,206.903
200,206.903
201,206.903
202,206.903
203,206.903
204,206.903
205,206.903
206,206.831
207,203.359
208,203.359
209,203.039
210,203.039
211,203.039
212,203.039
213,203.039
214,203.039
215,196.498
216,196.498
217,194.19
218,194.19
219,194.19
220,194.19
221,194.19
222,194.19
223,194.19
224,194.19
225,194.19
226,194.19
227,194.19
228,194.19
229,194.19
230,194.19
231,194.19
232,194.19
233,194.19
234,193.613
235,193.613
236,193.613
237,192.751
238,192.751
239,192.751
240,190.972
241,190.972
242,190.972
243,190.901
244,190.848
245,190.848
246,190.848
247,190.848
248,190.848
249,190.848
250,190.848
251,190.848
252,190.61
253,190.61
254,190.61
255,190.61
256,190.61
257,190.61
258,190.61
259,190.61
260,190.61
261,190.61
262,190.61
263,190.61
264,189.976
265,189.976
266,189.556
267,189.556
268,189.394
269,189.394
270,189.394
271,189.394
272,189.394
273,189.394
274,189.394
275,189.394
276,189.394
277,189.394
278,189.394
279,189.394
280,189.394
281,189.394
282,189.394
283,189.394
284,189.394
285,189.394
286,189.394
287,189.394
288,189.394
289,189.394
290,189.394
291,189.083
292,189.083
293,189.083
294,189.083
295,189.083
296,189.083
297,189.083
298,189.083
299,189.083
300,189.083
301,189.083
302,189.083
303,189.083
304,189.083
305,189.083
306,189.083
307,189.083
308,189.083
309,189.083
310,189.083
311,189.083
312,189.083
313,189.083
314,189.083
315,189.083
316,189.083
317,189.062
318,189.062
319,189.062
320,189.062
321,189.062
322,189.062
323,189.062
324,189.062
325,189.062
326,189.062
327,189.062
328,189.062
329,189.062
330,189.062
331,189.062
332,189.062
333,189.062
334,189.062
335,189.062
336,188.271
337,188.271
338,188.271
339,188.271
340,188.271
341,188.271
342,188.271
343,183.266
344,183.266
345,181.284
346,181.284
347,181.284
348,181.284
349,181.284
350,181.284
351,181.284
352,181.284
353,181.284
354,181.284
355,181.284
356,181.384
357,181.384
358,181.384
359,181.384
360,181.384
361,181.384
362,181.384
363,181.384
364,180.031
365,180.031
366,180.031
367,180.031
368,180.031
369,179.813
370,179.813
371,179.813
372,179.813
373,179.813
374,179.813
375,179.813
376,179.813
377,179.813
378,179.813
379,179.813
380,179.778
381,179.778
382,178.298
383,178.298
384,178.298
385,178.298
386,177.627
387,177.627
388,177.627
389,177.627
390,177.627
391,177.627
392,177.627
393,177.627
394,177.627
395,177.627
396,177.627
397,177.627
398,177.627
399,177.627
400,177.627
401,177.627
402,177.371
403,177.371
404,176.879
405,176.879
406,176.879
407,176.879
408,176.879
409,176.29
410,176.29
411,175.955
412,175.955
413,175.955
414,175.955
415,175.955
416,175.955
417,175.955
418,175.955
419,175.955
420,175.092
421,175.092
422,175.092
423,175.092
424,173.863
425,173.863
426,173.863
427,173.863
428,173.863
429,173.413
430,173.413
431,173.413
432,173.413
433,173.413
434,173.413
435,172.564
436,172.564
437,172.564
438,172.564
439,172.564
440,173.052
441,173.052
442,173.052
443,173.052
444,173.052
445,173.052
446,173.052
447,173.052
448,173.052
449,173.052
450,169.904
451,169.904
452,169.904
453,169.904
454,169.904
455,169.904
456,169.904
457,169.904
458,169.904
459,169.904
460,169.892
461,169.892
462,169.892
463,169.894
464,169.894
465,169.894
466,169.894
467,169.894
468,169.894
469,169.894
470,169.894
471,169.894
472,169.894
473,169.894
474,169.894
475,169.894
476,169.894
477,167.901
478,167.901
479,167.901
480,167.901
481,167.901
482,167.901
483,167.901
484,167.901
485,167.901
486,167.901
487,167.901
488,167.901
489,167.901
490,167.901
491,167.901
492,167.901
493,167.901
494,167.901
495,167.901
496,167.901
497,167.901
498,167.901
499,167.901
500,167.901
501,167.901
502,167.901
503,167.054
504,167.054
505,167.054
506,167.054
507,167.054
508,167.054
509,167.054
510,167.054
511,167.054
512,167.054
513,167.056
514,167.056
515,167.056
516,167.056
517,167.056
518,167.056
519,167.056
520,167.056
521,167.056
522,167.056
523,167.056
524,167.056
525,165.701
526,165.701
527,165.701
528,164.686
529,164.686
530,164.686
531,164.686
532,164.686
533,164.686
534,164.686
535,164.686
536,164.686
537,164.686
538,164.686
539,164.686
540,164.686
541,164.686
542,164.686
543,164.686
544,164.686
545,164.686
546,164.686
547,164.686
548,164.686
549,164.686
550,164.835
551,164.835
552,162.811
553,162.811
554,162.811
555,162.811
556,162.409
557,162.409
558,161.083
559,161.083
560,161.083
561,161.083
562,161.083
563,161.083
564,161.083
565,161.083
566,161.083
567,161.083
568,161.083
569,161.083
570,161.083
571,161.083
572,161.083
573,161.083
574,161.083
575,161.083
576,161.083
577,161.083
578,161.083
579,161.083
580,161.083
581,161.083
582,161.083
583,161.083
584,161.083
585,161.083
586,161.083
587,160.757
588,160.757
589,160.757
590,160.757
591,160.757
592,160.757
593,160.757
594,160.757
595,160.757
596,160.757
597,160.757
598,160.558
599,160.558
600,160.558
601,160.558
602,160.558
603,160.558
604,160.558
605,160.558
606,160.558
607,160.558
608,160.558
609,160.558
610,160.558
611,160.558
612,160.558
613,160.558
614,160.558
615,160.558
616,160.558
617,160.558
618,160.558
619,160.558
620,160.558
621,160.558
622,160.558
623,160.558
624,160.558
625,160.558
626,160.558
627,160.558
628,160.558
629,160.558
630,160.558
631,160.558
632,160.558
633,160.558
634,160.558
635,160.558
636,160.558
637,160.558
638,160.558
639,160.558
640,160.558
641,160.333
642,160.333
643,160.164
644,160.164
645,160.164
646,160.164
647,160.164
648,160.164
649,160.164
650,160.164
651,159.609
652,159.216
653,159.216
654,159.216
655,159.216
656,158.647
657,158.596
658,158.596
659,158.596
660,158.596
661,157.194
662,157.194
663,157.194
664,157.194
665,157.194
666,157.194
667,157.194
668,157.194
669,157.194
670,157.194
671,157.194
672,157.194
673,157.194
674,157.194
675,157.194
676,157.207
677,157.207
678,157.207
679,157.207
680,156.845
681,156.735
682,156.735
683,156.735
684,156.735
685,156.735
686,156.735
687,156.735
688,156.735
689,156.735
690,156.735
691,156.735
692,156.735
693,156.735
694,156.135
695,156.135
696,156.135
697,156.135
698,156.135
699,156.135
700,156.135
701,156.135
702,154.782
703,154.782
704,154.782
705,154.782
706,154.782
707,154.782
708,154.35
709,154.35
710,154.35
711,154.35
712,154.35
713,154.35
714,154.35
715,152.728
716,152.728
717,152.728
718,152.728
