generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
1,40.9214,40.9214,40.9214,40.9214,40.9214,40.9214,43.1827,43.6401
2,39.5006,39.5006,39.5006,39.5006,39.5006,40.3619,40.9214,41.1268
3,38.955,38.955,38.955,38.955,38.955,39.5006,39.7058,44.5656
4,37.7577,37.7577,37.7577,37.7762,38.605,38.605,43.1343,43.1343
5,37.6139,37.6139,37.6139,37.6139,37.8506,37.8506,38.4193,41.246
6,35.8888,35.8888,35.8888,35.8888,35.8888,35.8888,37.4685,44.6491
7,33.6707,33.6707,33.6707,33.6707,33.6707,35.8888,35.8888,37.4119
8,33.6707,33.6707,33.6707,33.6707,33.6707,33.6707,33.6707,36.5286
9,33.6707,33.6707,33.6707,33.6707,33.6707,33.6707,35.7111,35.8392
10,33.6707,33.6707,33.6707,33.6707,33.6707,34.391,35.0703,36.6423
11,32.0034,32.0034,32.0034,32.0034,32.0034,34.4062,35.3288,38.2076
12,30.9318,30.9318,30.9318,30.9318,30.9318,30.9318,30.9318,35.3765
13,28.8626,28.8626,28.8626,28.8626,28.8626,28.8626,28.8626,28.8626
14,28.0244,28.0244,28.0244,28.0244,28.0244,28.0244,28.0244,28.8626
15,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469
16,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469
17,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469,29.2218,30.6108
18,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469,31.1459,31.1459
19,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469,27.7469,29.4003
20,27.1578,27.1578,27.1578,27.1578,27.1578,27.1578,27.7469,29.4337
21,27.1578,27.1578,27.1578,27.1578,27.1578,27.1578,29.1568,31.5682
22,27.1578,27.1578,27.1578,27.1578,27.1578,27.1578,27.9386,28.4474
23,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,27.5888,27.9386
24,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,27.8833,30.817
25,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,27.8833,33.7366
26,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,31.9185
27,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,27.5908
28,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999
29,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,26.8999,29.0603
30,26.8658,26.8658,26.8658,26.8658,26.8658,26.8658,26.8658,31.2473
31,26.8658,26.8658,26.8658,26.8658,26.8658,26.8658,26.8658,29.9688
32,26.8658,26.8658,26.8658,26.8658,26.8658,26.8658,26.8658,26.8658
33,26.6307,26.6307,26.6307,26.6307,26.6307,26.6307,26.8658,27.4233
34,26.2312,26.2312,26.2312,26.2312,26.2312,26.2312,26.6307,30.2234
35,26.2312,26.2312,26.2312,26.2312,26.4652,26.4652,26.4652,29.701
36,26.4652,26.4652,26.4652,26.4652,26.4652,26.4652,26.4652,29.1994
37,26.4652,26.4652,26.4652,26.4652,26.4652,26.4652,26.4652,26.4652
38,26.4652,26.4652,26.4652,26.4652,26.4652,26.4652,29.9092,29.9092
39,26.8913,26.8913,26.8913,26.8913,30.2188,30.4983,30.4983,30.4983
40,25.5398,25.5398,25.5398,25.5398,25.5398,25.5398,26.8913,26.8913
41,25.5398,25.5398,25.5398,25.5398,25.5398,26.1177,26.8913,29.5962
42,25.0946,25.0946,25.0946,25.0946,25.5398,25.7525,28.925,31.0566
43,26.0074,26.0074,26.0074,26.0074,26.0074,26.0074,28.1141,29.53
44,24.3304,24.3304,24.3304,24.3304,24.3304,24.3304,24.3304,28.553
45,24.3304,24.3304,24.3304,24.3304,24.3304,24.3304,25.0655,25.0655
46,24.3304,24.3304,24.3304,24.3304,24.3304,24.3304,24.3304,24.3304
47,24.3304,24.3304,24.3304,24.3304,24.3304,24.3304,27.1509,27.1509
48,24.3304,24.3304,24.3304,24.3304,24.3304,27.988,31.5641,33.5313
49,24.3304,24.3304,24.3304,24.3304,24.3304,24.3304,26.3988,30.5681
50,23.1936,23.1936,23.1936,23.1936,24.3304,24.3304,24.3304,26.3995
