generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
1,484.491,484.491,484.491,484.491,484.491,499.424,536.31,536.31
2,475.335,475.335,475.335,475.335,475.335,475.335,475.335,491.54
3,473.322,473.322,473.322,473.322,473.322,473.322,475.335,475.335
4,457.012,457.012,457.012,457.012,457.012,459.53,473.322,474.995
5,457.012,457.012,457.012,457.012,457.012,457.012,466.734,466.734
6,455.922,455.922,455.922,455.922,455.922,455.922,457.012,465.628
7,447.649,447.649,447.649,447.649,447.649,447.649,449.357,449.357
8,447.537,447.537,447.537,447.537,447.537,447.537,447.537,447.649
9,441.857,441.857,441.857,441.857,441.857,447.013,447.537,447.537
10,440.175,440.175,440.175,440.175,440.175,441.81,441.857,446.845
11,440.175,440.175,440.175,440.175,440.175,440.175,440.175,440.175
12,435.081,435.081,435.081,435.081,435.081,440.175,440.175,442.021
13,435.135,435.135,435.135,435.135,435.135,435.135,435.135,438.507
14,429.448,429.448,429.448,429.448,429.448,429.448,429.448,441.429
15,426.054,426.054,426.054,426.054,429.448,429.448,429.448,440.32
16,426.054,426.054,426.054,426.054,426.054,426.054,429.448,429.448
17,426.054,426.054,426.054,426.054,426.054,426.054,426.054,430.982
18,425.043,425.043,425.043,425.043,426.054,426.054,426.054,426.054
19,425.043,425.043,425.043,425.043,425.043,425.043,426.054,426.054
20,425.043,425.043,425.043,425.043,425.043,425.043,425.043,426.054
21,423.038,423.038,423.038,423.038,423.038,423.038,423.038,424.111
22,422.775,422.775,422.775,422.775,422.775,422.775,422.775,423.038
23,421.776,421.776,421.776,421.776,421.776,421.776,422.775,430.594
24,415.347,415.347,415.347,415.347,415.347,415.347,428.213,439.449
25,415.347,415.347,415.347,415.347,415.347,415.347,415.347,415.347
26,413.769,413.769,413.769,413.769,413.769,413.769,415.323,415.347
27,413.579,413.579,413.579,413.579,413.579,413.579,413.579,413.769
28,413.579,413.579,413.579,413.579,413.579,413.579,413.579,413.579
29,401.283,401.283,401.283,401.283,411.428,413.579,413.579,419.021
30,401.283,401.283,401.283,401.283,401.283,401.283,401.631,401.631
