generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
1,15.3266,15.3266,15.3266,15.3266,15.3266,15.3266,16.0251,17.7957
2,15.3266,15.3266,15.3266,15.3266,15.3266,15.3266,15.4716,15.4716
3,15.065,15.065,15.065,15.065,15.065,15.4716,15.4716,15.4716
4,15.065,15.065,15.065,15.397,15.4215,15.4215,15.4947,15.6863
5,15.065,15.065,15.065,15.065,15.065,15.065,15.2405,15.699
6,13.6341,13.6341,13.6341,13.6341,13.6341,15.065,15.1707,16.0914
7,13.8308,13.8308,13.8308,13.8308,13.8308,13.8308,13.909,15.614
8,13.8308,13.8308,13.8308,13.8308,13.8308,13.8308,13.8308,13.909
9,13.8308,13.8308,13.8308,13.8308,13.8308,13.8308,14.2019,14.8834
10,13.3366,13.3366,13.3366,13.3366,13.3366,13.8308,13.8308,14.3379
11,12.7134,12.7134,12.7134,12.7134,12.7134,12.7134,12.7134,13.3366
12,12.4259,12.4259,12.4259,12.4259,12.4259,12.4259,12.7134,13.44
13,11.9329,11.9329,11.9329,11.9329,11.9329,11.9329,11.9329,11.9329
14,11.9329,11.9329,11.9329,11.9329,11.9329,11.9329,11.9329,11.9329
15,11.9329,11.9329,11.9329,11.9329,11.9329,11.9329,11.9329,12.3999
16,11.8178,11.8178,11.8178,11.8178,11.8178,11.8178,11.8178,11.9329
17,11.8178,11.8178,11.8178,11.8178,11.8178,11.8178,11.8178,11.8178
18,11.6977,11.6977,11.6977,11.6977,11.6977,11.6977,11.8178,12.139
19,11.6977,11.6977,11.6977,11.6977,11.6977,11.6977,11.6977,12.2821
20,11.6977,11.6977,11.6977,11.6977,11.6977,11.6977,11.6977,13.0822
21,11.6977,11.6977,11.6977,11.6977,11.6977,11.6977,12.8336,12.8336
22,11.6977,11.6977,11.6977,11.7592,11.7592,12.8905,12.8905,14.653
23,11.2092,11.2092,11.2092,11.2092,11.2092,11.2092,11.2092,11.2092
24,11.2092,11.2092,11.2092,11.2092,11.2092,11.2092,11.2092,11.6799
25,11.0694,11.0694,11.0694,11.0694,11.0694,11.0694,11.2092,12.3449
26,11.0694,11.0694,11.0694,11.0694,11.0694,11.0694,11.2092,11.685
27,11.0694,11.0694,11.0694,11.0694,11.0694,11.0694,11.0694,11.0694
28,11.0045,11.0045,11.0045,11.0045,11.0045,11.0045,11.0694,11.0694
29,11.0045,11.0045,11.0045,11.0045,11.0045,11.8014,11.8359,13.419
30,11.0045,11.0045,11.0045,11.0045,11.0045,11.0045,11.9832,12.4317
31,10.4493,10.4493,10.4493,10.4493,10.4493,10.4493,11.0045,11.0045
32,10.3355,10.3355,10.3355,10.3355,10.3355,10.4493,11.0045,11.3741
33,9.73648,9.73648,9.73648,10.3355,11.0196,11.2098,11.2656,11.8131
34,10.1738,10.1738,10.1738,10.1738,10.1738,10.831,11.4792,12.1232
35,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.831
36,10.1738,10.1738,10.1738,10.1738,10.1738,10.7107,10.959,13.2781
37,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.6571,10.6571
38,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.6388
39,10.1738,10.1738,10.1738,10.1738,10.1738,10.5517,10.5517,13.996
40,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,12.1342
41,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738
42,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738
43,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,11.0476
44,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,13.3721
45,10.1526,10.1526,10.1526,10.1526,10.1526,10.1738,11.1791,12.8718
46,10.1526,10.1526,10.1526,10.1526,10.1526,10.5349,11.0526,13.3689
47,10.1526,10.1526,10.1526,10.1526,10.1526,10.1526,10.1526,11.9891
48,10.1526,10.1526,10.1526,10.2963,10.2963,10.2963,10.5904,10.929
49,10.2963,10.2963,10.2963,10.2963,10.2963,10.2963,10.8212,10.8898
50,10.2963,10.2963,10.2963,10.2963,10.2963,10.2963,10.2963,10.2963
51,10.2963,10.2963,10.2963,10.2963,10.2963,10.2963,10.2963,10.8201
52,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272
53,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.9211
54,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,12.7962
55,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272
56,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,11.0092,11.2274
57,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0486,12.7667
58,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0486,10.1449
59,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.725,10.9325
60,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.7084,10.886
61,10.0272,10.0272,10.0272,10.0272,10.0272,10.9219,10.9829,10.9829
62,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,11.0318,11.0318
63,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,11.6669
64,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,11.26
65,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272
66,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,11.2061
67,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,11.3815,11.4454
68,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272,10.0272
69,9.92533,9.92533,9.92533,9.92533,10.0272,10.0272,10.9407,10.9407
70,9.92533,9.92533,9.92533,9.92533,9.92533,9.92533,10.9033,11.9282
71,9.92533,9.92533,9.92533,9.92533,9.92533,9.92533,10.6579,11.177
72,9.92533,9.92533,9.92533,9.92533,9.92533,10.2497,11.3619,11.5095
73,9.92533,9.92533,9.92533,9.92533,9.92533,9.92533,9.92533,9.92533
74,9.92533,9.92533,9.92533,9.92533,9.92533,9.92533,9.92533,11.2343
75,10.3693,10.3693,10.3693,10.3693,10.3693,10.3693,10.4565,10.5629
76,10.2595,10.2595,10.2595,10.2595,10.2595,10.2595,10.2595,10.4565
77,10.2595,10.2595,10.2595,10.2595,10.2595,10.2595,10.2595,10.2595
78,10.2077,10.2077,10.2077,10.2077,10.2077,10.2077,10.2077,10.2595
79,10.2077,10.2077,10.2077,10.2077,10.2077,10.2077,10.2077,10.2077
80,10.2077,10.2077,10.2077,10.2077,10.2077,10.2077,10.2077,12.5864
81,10.2077,10.2077,10.2077,10.2077,10.2077,10.2077,10.3036,11.9491
82,10.2077,10.2077,10.2077,10.2077,10.4874,11.0767,11.1094,11.9857
83,10.3891,10.3891,10.3891,10.3891,10.3891,10.4818,10.9114,11.0293
84,10.2744,10.2744,10.2744,10.2744,10.2744,11.5841,11.5841,11.8018
85,10.2744,10.2744,10.2744,10.2744,10.2744,10.5067,12.2536,13.3968
86,10.2744,10.2744,10.2744,10.2744,10.2744,10.3404,12.1219,12.1219
87,10.3638,10.3638,10.3638,10.3638,11.8441,12.1219,12.1219,12.4627
88,10.3638,10.3638,10.3638,10.3638,10.3638,10.3638,10.3638,12.1203
89,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,10.2729,12.5981
90,10.1579,10.1579,10.1579,10.1579,10.1579,10.2752,11.0148,12.1235
91,10.1579,10.1579,10.1579,10.1579,10.1579,10.2752,10.2752,10.2752
92,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,12.6887
93,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,12.7983
94,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,12.7983
95,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,10.5838,10.5838
96,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579,10.1579
97,10.1579,10.1579,10.1579,10.1579,10.1579,10.7113,10.9678,10.9678
98,10.1579,10.1579,10.1579,10.1579,10.1579,10.7896,10.7896,11.1873
99,10.8817,10.8817,10.8817,10.8817,11.0821,11.0821,11.1484,11.1484
100,10.8817,10.8817,10.8817,10.8817,10.8866,10.8866,11.0821,11.2292
101,10.8817,10.8817,10.8817,10.8817,10.8817,10.8817,10.8817,12.5006
102,10.6739,10.6739,10.6739,10.6739,10.6739,10.6739,10.6739,11.8138
103,10.6739,10.6739,10.6739,10.6739,10.6739,10.6739,10.6739,11.2177
104,10.6739,10.6739,10.6739,10.6739,10.6739,10.6739,12.3125,12.3125
105,10.6823,10.6823,10.6823,10.6823,10.6823,11.0414,11.0414,12.2218
106,10.6823,10.6823,10.6823,10.6823,11.1853,11.1853,11.1853,12.3517
107,10.6823,10.6823,10.6823,10.6823,10.6823,11.1746,11.8842,12.1193
108,10.9345,10.9345,10.9345,10.9345,11.3786,11.3786,11.3858,11.3858
109,10.9024,10.9024,10.9024,10.9024,10.9024,10.9024,10.9078,11.3372
