generation,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8
1,485.089,485.089,485.089,485.089,485.089,485.089,485.089,485.089
2,482.267,482.267,482.267,482.267,482.267,482.267,485.089,485.089
3,473.959,473.959,473.959,473.959,473.959,473.959,482.267,485.089
4,469.08,469.08,469.08,469.08,469.08,473.445,473.959,489.179
5,463.919,463.919,463.919,463.919,463.919,463.919,463.919,463.919
6,460.239,460.239,460.239,460.239,460.239,460.239,463.919,470.207
7,455.689,455.689,455.689,455.689,455.689,455.901,460.239,463.919
8,446.304,446.304,446.304,446.304,446.304,458.342,461.064,461.064
9,446.304,446.304,446.304,446.304,446.304,446.304,458.937,468.159
10,446.304,446.304,446.304,446.304,446.304,446.918,446.918,455.445
11,446.304,446.304,446.304,446.304,446.304,446.304,446.304,456.287
12,446.304,446.304,446.304,446.304,446.304,446.304,446.304,456.287
13,446.304,446.304,446.304,446.304,446.304,446.304,446.304,446.304
14,444.608,444.608,444.608,446.304,446.304,446.304,446.304,457.236
15,430.563,430.563,430.563,430.563,444.819,445.012,446.304,474.832
16,430.563,430.563,430.563,430.563,430.563,430.563,430.563,430.563
17,430.563,430.563,430.563,430.563,430.563,430.563,430.563,430.563
18,430.563,430.563,430.563,430.563,430.563,430.563,430.563,430.563
19,426.922,426.922,426.922,426.922,430.563,430.563,430.563,430.563
20,426.748,426.748,426.748,426.748,426.922,430.563,430.563,430.961
21,426.095,426.095,426.095,426.095,426.095,426.095,426.748,430.941
22,417.68,417.68,417.68,417.68,417.68,426.095,426.095,426.095
23,409.084,409.084,409.084,409.084,409.084,409.084,413.7,416.264
24,409.084,409.084,409.084,409.084,409.084,409.084,409.084,423.34
25,406.703,406.703,406.703,406.703,406.703,409.084,409.084,411.313
26,396.406,396.406,396.406,396.406,396.406,396.406,396.406,398.382
27,393.437,393.437,393.437,393.437,393.437,393.437,393.437,400.303
28,393.437,393.437,393.437,393.437,393.437,393.437,393.437,401.542
29,393.437,393.437,393.437,393.437,393.437,393.437,393.437,408.982
30,393.437,393.437,393.437,393.437,393.437,393.437,393.437,402.771
31,393.437,393.437,393.437,393.437,393.437,393.437,395.393,408.103
32,390.234,390.234,390.234,390.234,390.234,390.234,393.437,393.437
33,383.594,383.594,383.594,383.594,383.594,383.594,383.594,403.145
34,383.594,383.594,383.594,383.594,383.594,383.594,383.594,397.778
35,381.668,381.668,381.668,381.668,381.668,381.668,383.594,385.056
36,381.668,381.668,381.668,381.668,381.668,381.668,381.668,391.734
37,381.668,381.668,381.668,381.668,381.668,381.668,381.668,381.668
38,381.668,381.668,381.668,381.668,381.668,381.668,381.668,381.668
39,380.992,380.992,380.992,380.992,380.992,381.668,390.586,394.795
40,380.992,380.992,380.992,380.992,383.932,385.083,402.258,402.258
41,379.67,379.67,379.67,379.67,380.992,380.992,390.633,402.423
42,388.373,388.373,388.373,388.373,388.373,388.373,388.446,396.95
43,387.474,387.474,387.474,387.474,387.474,387.474,387.474,387.474
44,387.474,387.474,387.474,387.474,387.474,387.474,387.474,387.474
45,384.556,384.556,384.556,387.474,387.474,387.474,387.474,387.474
46,383.107,383.107,383.107,383.107,383.107,384.556,387.474,387.474
47,376.688,376.688,376.688,376.688,376.688,377.511,386.189,407.565
48,374.516,374.516,374.516,374.516,374.516,374.516,374.516,381.395
49,369.627,369.627,369.627,369.627,369.627,369.627,369.627,374.516
50,362.742,362.742,362.742,362.742,362.742,362.742,362.742,369.627
51,362.742,362.742,362.742,362.742,362.742,362.742,362.742,362.742
52,362.742,362.742,362.742,362.742,362.742,362.742,362.742,368.788
53,362.742,362.742,362.742,362.742,362.742,362.742,362.742,362.742
54,362.742,362.742,362.742,362.742,362.742,362.742,362.742,362.742
55,360.153,360.153,360.153,360.153,360.153,360.153,362.742,362.742
56,359.713,359.713,359.713,359.713,359.713,359.713,359.713,359.713
57,359.713,359.713,359.713,359.713,359.713,359.713,359.713,359.713
58,359.713,359.713,359.713,359.713,359.713,359.713,359.713,363.097
59,358.352,358.352,358.352,358.352,358.352,358.352,358.352,358.352
60,358.352,358.352,358.352,358.352,358.352,358.352,358.352,367.766
61,358.352,358.352,358.352,358.352,358.352,367.089,367.972,390.288
62,354.48,354.48,354.48,354.48,354.48,354.48,354.48,361.527
63,345.106,345.106,345.106,345.106,345.106,345.106,345.106,366.848
64,344.223,344.223,344.223,344.223,344.223,344.223,345.106,345.106
65,344.223,344.223,344.223,344.223,344.223,346.342,346.342,361.634
66,344.223,344.223,344.223,346.096,347.606,347.606,351.554,366.395
67,345.359,345.359,345.359,345.359,345.359,345.359,345.359,350.04
68,345.359,345.359,345.359,345.359,345.359,345.359,345.359,345.359
69,345.359,345.359,345.359,345.359,345.359,345.359,345.359,345.359
70,345.359,345.359,345.359,345.359,345.359,345.359,345.359,345.359
71,343.182,343.182,343.182,343.182,343.182,345.359,345.359,345.359
72,336.641,336.641,336.641,336.641,336.641,336.641,336.641,345.917
73,334.209,334.209,334.209,334.209,334.209,336.641,336.641,336.641
74,331.924,331.924,331.924,331.924,331.924,331.924,336.102,341.492
75,331.924,331.924,331.924,331.924,331.924,331.924,331.924,331.924
76,331.924,331.924,331.924,331.924,331.924,331.924,331.924,331.924
77,331.924,331.924,331.924,331.924,331.924,331.924,331.924,331.924
78,331.924,331.924,331.924,331.924,331.924,331.924,331.924,332.606
79,331.924,331.924,331.924,331.924,348.172,348.227,349.579,355.36
80,331.924,331.924,331.924,331.924,331.924,331.924,331.924,344.624
81,331.924,331.924,331.924,331.924,331.924,331.924,331.924,331.924
82,331.924,331.924,331.924,331.924,331.924,331.924,331.924,331.924
83,330.232,330.232,330.232,330.232,330.232,330.232,331.924,331.924
84,330.232,330.232,330.232,330.232,330.232,330.232,330.232,340.444
85,330.232,330.232,330.232,330.232,330.232,330.232,339.231,339.231
86,329.118,329.118,329.118,329.118,329.118,329.118,340.268,345.155
87,329.118,329.118,329.118,329.118,329.118,329.118,329.118,357.369
88,329.118,329.118,329.118,329.118,329.118,329.118,333.589,344.974
89,329.118,329.118,329.118,329.118,329.118,329.118,329.118,345.956
90,328.854,328.854,328.854,328.854,329.118,329.118,329.118,329.118
91,327.266,327.266,327.266,327.266,327.266,328.854,328.854,333.816
92,327.266,327.266,327.266,327.266,327.266,327.266,327.266,347.369
93,327.266,327.266,327.266,327.266,327.266,327.266,327.266,335.857
94,327.266,327.266,327.266,327.266,327.266,327.266,327.266,327.266
95,327.266,327.266,327.266,327.266,327.266,327.266,327.266,330.497
96,327.266,327.266,327.266,327.266,327.266,327.266,327.976,340.794
97,323.681,323.681,323.681,323.681,323.681,323.681,323.681,327.969
98,317.818,317.818,317.818,317.818,317.818,317.818,323.681,327.266
99,317.818,317.818,317.818,317.818,317.818,317.818,330.179,333.846
100,317.818,317.818,317.818,317.818,317.818,317.818,317.818,317.818
101,317.818,317.818,317.818,317.818,317.818,317.818,317.818,317.818
102,317.818,317.818,317.818,317.818,317.818,317.818,317.818,317.818
103,317.818,317.818,317.818,317.818,317.818,317.818,317.818,317.818
104,317.818,317.818,317.818,317.818,317.818,317.818,317.818,317.818
105,317.818,317.818,317.818,317.818,317.818,317.818,332.691,333.375
106,317.818,317.818,317.818,317.818,317.818,317.818,323.653,332.662
107,317.818,317.818,317.818,317.818,317.818,317.818,317.818,317.818
108,317.379,317.379,317.379,317.379,317.379,317.379,317.379,317.379
109,317.379,317.379,317.379,317.379,317.379,317.379,317.379,348.377
110,317.379,317.379,317.379,317.379,317.379,317.379,317.379,321.757
111,317.379,317.379,317.379,317.379,317.379,317.379,317.379,318.431
112,315.816,315.816,315.816,315.816,315.816,317.379,317.379,317.379
113,315.816,315.816,315.816,315.816,315.816,315.816,315.816,315.816
114,314.042,314.042,314.042,314.042,314.042,314.042,315.816,315.816
115,313.774,313.774,313.774,313.774,313.774,313.774,314.042,327.955
116,313.774,313.774,313.774,313.774,313.774,313.774,314.042,319.698
117,313.774,313.774,313.774,313.774,313.774,313.774,314.157,326.857
118,313.774,313.774,313.774,313.774,313.774,313.774,314.157,314.157
119,313.774,313.774,313.774,313.774,313.774,313.774,313.774,321.789
120,313.774,313.774,313.774,313.774,313.774,313.774,313.774,313.774
121,313.774,313.774,313.774,313.774,313.774,313.774,313.774,319.21
122,313.774,313.774,313.774,313.774,313.774,313.774,313.774,313.774
123,313.774,313.774,313.774,313.774,313.774,313.774,313.774,313.774
124,313.774,313.774,313.774,313.774,313.774,313.774,313.774,313.774
125,310.083,310.083,310.083,310.083,310.083,313.774,313.774,337.927
126,310.083,310.083,310.083,310.083,310.083,310.083,310.083,310.083
127,310.083,310.083,310.083,310.083,310.083,310.083,310.083,310.083
128,307.585,307.585,307.585,307.585,307.585,307.585,307.585,307.585
129,307.313,307.313,307.313,307.313,307.313,307.313,311.605,317.915
130,303.756,303.756,303.756,303.756,303.756,303.756,303.756,303.756
131,298.577,298.577,298.577,298.577,298.577,303.506,304.826,316.381
132,297.551,297.551,297.551,297.551,297.551,297.551,297.551,297.551
133,297.551,297.551,297.551,297.551,297.551,297.551,297.551,297.551
134,297.551,297.551,297.551,297.551,297.551,297.551,305.804,309.257
135,297.551,297.551,297.551,297.551,297.551,297.551,297.551,297.551
136,297.551,297.551,297.551,297.551,297.551,297.551,297.551,325.665
137,294.781,294.781,294.781,294.781,294.781,294.781,294.781,297.551
138,294.781,294.781,294.781,294.781,294.781,294.781,302.681,312.626
139,294.781,294.781,294.781,294.781,294.781,309.172,309.172,310.623
140,294.781,294.781,294.781,294.781,294.781,294.781,294.781,302.681
141,294.781,294.781,294.781,294.781,294.781,294.781,305.404,310.519
142,294.781,294.781,294.781,294.781,294.781,294.781,294.908,294.908
143,294.781,294.781,294.781,294.781,294.781,294.908,294.908,294.908
144,294.781,294.781,294.781,294.781,294.781,294.781,294.908,294.908
145,294.781,294.781,294.781,294.781,294.781,294.781,294.781,294.908
146,294.781,294.781,294.781,294.781,294.781,294.781,294.781,294.781
147,294.781,294.781,294.781,294.781,294.781,294.781,294.781,294.781
148,294.566,294.566,294.566,294.566,294.566,294.781,294.781,298.468
149,294.566,294.566,294.566,294.566,294.566,294.781,294.781,295.492
150,292.989,292.989,292.989,292.989,294.566,294.566,294.781,294.781
151,292.989,292.989,292.989,292.989,292.989,292.989,294.781,294.781
152,288.596,288.596,288.596,288.596,292.989,292.989,292.989,323.729
153,288.596,288.596,288.596,288.596,288.596,288.596,299.386,321.665
154,287.464,287.464,287.464,287.464,287.464,287.464,287.464,287.464
155,287.464,287.464,287.464,287.464,287.464,287.464,287.464,287.464
156,287.464,287.464,287.464,287.464,287.464,287.464,287.464,303.45
157,287.464,287.464,287.464,287.464,287.464,287.464,287.464,287.464
158,286.929,286.929,286.929,286.929,286.929,287.464,287.464,294.211
