#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.959002    0.959002           0
           2    0.915218     0.93711   0.0154799
           3    0.903699    0.925973   0.0137546
           4    0.905282      0.9208   0.0112466
           5    0.894227    0.915485   0.0101758
           6    0.853147    0.905096   0.0127225
           7    0.833033    0.894801    0.014483
           8    0.831278    0.886861   0.0146889
           9    0.829928    0.880535   0.0143545
          10    0.827823    0.875264   0.0138531
