#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.65851    -5.65851           0
           2     -5.6165    -5.63751   0.0148535
           3    -5.60797    -5.62766   0.0127542
           4    -5.60939    -5.62309   0.0103515
           5    -5.59806    -5.61809  0.00941456
           6    -5.55635     -5.6078   0.0122386
           7    -5.53424    -5.59729   0.0143068
           8    -5.53081    -5.58898   0.0147353
           9    -5.53102    -5.58254   0.0144367
          10     -5.5295    -5.57724   0.0139335
