#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.639334    0.639334           0
           2    0.610145     0.62474     0.01032
           3    0.602466    0.617315  0.00916973
           4    0.603521    0.613867  0.00749776
           5    0.596151    0.610324   0.0067839
           6    0.568765    0.603397  0.00848168
           7    0.555356    0.596534  0.00965537
           8    0.554186    0.591241  0.00979261
           9    0.553285    0.587023  0.00956966
          10    0.551882    0.583509  0.00923539
