#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.69951    -4.69951           0
           2    -4.70128     -4.7004 0.000626428
           3    -4.70427    -4.70169   0.0011347
           4    -4.70411    -4.70229 0.000999107
           5    -4.70383     -4.7026 0.000845344
           6     -4.7032     -4.7027 0.000710339
           7    -4.70121    -4.70249 0.000640037
           8    -4.69953    -4.70212 0.000657989
           9     -4.7011    -4.70201  0.00059461
          10    -4.70167    -4.70197 0.000536072
